alto-saxophone-bbmelmin-scale-2octs.csv
Instrument: Alto Saxophone
Transposition: -900 cents
Tonic: 440.0 Hz
Temperament: 12-TET
Description: In $scales$ collections` all pitches are shown as in tune relative to 12-TET` even though this might not always be the case. Also` there might be some errors
Type,Frequency (Hz),Transposed pitch,Concert pitch,TET step,Fingering,Fingering ID,Description
note,138.591316,Bb3+0.0,C#3+0.0,4\12 0.0%, 123 Bb || 456 C,705742400_0_0_|_0.0:0.0_0.0:0.0,
note,155.563492,C4+0.0,Eb3+0.0,6\12 0.0%, 123 || 456 C,705726016_0_0_|_0.0:0.0_0.0:0.0,
note,164.813779,C#4+0.0,E3+0.0,7\12 0.0%, 123 C# || 456 C,705730112_0_0_|_0.0:0.0_0.0:0.0,
note,184.997212,Eb4+0.0,F#3+0.0,9\12 0.0%, 123 | 456 Eb,437257792_0_0_|_0.0:0.0_0.0:0.0,
note,207.65235,F4+0.0,Ab3+0.0,11\12 0.0%, 123 | 4--,1050176_0_0_|_0.0:0.0_0.0:0.0,
note,233.081882,G4+0.0,Bb3+0.0,1\12 0.0%, 123 | ---,1600_0_0_|_0.0:0.0_0.0:0.0,
note,261.625566,A4+0.0,C4+0.0,3\12 0.0%, 12- | ---,576_0_0_|_0.0:0.0_0.0:0.0,
note,277.182632,Bb4+0.0,C#4+0.0,4\12 0.0%, 12- | Bb ---,262720_0_0_|_0.0:0.0_0.0:0.0,
note,311.126984,C5+0.0,Eb4+0.0,6\12 0.0%, -2- | ---,512_0_0_|_0.0:0.0_0.0:0.0,
note,329.627557,C#5+0.0,E4+0.0,7\12 0.0%, --- | ---,0_0_0_|_0.0:0.0_0.0:0.0,
note,369.994423,Eb5+0.0,F#4+0.0,9\12 0.0%, o 123 | 456 Eb,437257793_0_0_|_0.0:0.0_0.0:0.0,
note,415.304698,F5+0.0,Ab4+0.0,11\12 0.0%, o 123 | 4--,1050177_0_0_|_0.0:0.0_0.0:0.0,
note,466.163762,G5+0.0,Bb4+0.0,1\12 0.0%, o 123 | ---,1601_0_0_|_0.0:0.0_0.0:0.0,
note,523.25113,A5+0.0,C5+0.0,3\12 -0.0%, o 12- | ---,577_0_0_|_0.0:0.0_0.0:0.0,
note,554.365262,Bb5+0.0,C#5+0.0,4\12 0.0%, o 12- | Bb ---,262721_0_0_|_0.0:0.0_0.0:0.0,
