alto-saxophone-gmelmin-scale-2octs.csv
Instrument: Alto Saxophone
Transposition: -900 cents
Tonic: 440.0 Hz
Temperament: 12-TET
Description: In $scales$ collections` all pitches are shown as in tune relative to 12-TET` even though this might not always be the case. Also` there might be some errors
Type,Frequency (Hz),Transposed pitch,Concert pitch,TET step,Fingering,Fingering ID,Description
note,233.081881,G4+0.0,Bb3+0.0,1\12 0.0%, 123 | ---,1600_0_0_|_0.0:0.0_0.0:0.0,
note,261.625566,A4+0.0,C4+0.0,3\12 0.0%, 12- | ---,576_0_0_|_0.0:0.0_0.0:0.0,
note,277.182631,Bb4+0.0,C#4+0.0,4\12 0.0%, 12- | Bb ---,262720_0_0_|_0.0:0.0_0.0:0.0,
note,311.126984,C5+0.0,Eb4+0.0,6\12 0.0%, -2- | ---,512_0_0_|_0.0:0.0_0.0:0.0,
note,349.228232,D5+0.0,F4+0.0,8\12 0.0%, o 123 | 456,168822337_0_0_|_0.0:0.0_0.0:0.0,
note,391.995436,E5+0.0,G4+0.0,10\12 0.0%, o 123 | 45-,34604609_0_0_|_0.0:0.0_0.0:0.0,
note,440.0,F#5+0.0,A4+0.0,0\12 0.0%, o 123 | -5-,33556033_0_0_|_0.0:0.0_0.0:0.0,
note,466.163762,G5+0.0,Bb4+0.0,1\12 0.0%, o 123 | ---,1601_0_0_|_0.0:0.0_0.0:0.0,
note,523.251131,A5+0.0,C5+0.0,3\12 0.0%, o 12- | ---,577_0_0_|_0.0:0.0_0.0:0.0,
note,554.365262,Bb5+0.0,C#5+0.0,4\12 0.0%, o 12- | Bb ---,262721_0_0_|_0.0:0.0_0.0:0.0,
note,622.253968,C6+0.0,Eb5+0.0,6\12 0.0%, o -2- | ---,513_0_0_|_0.0:0.0_0.0:0.0,
note,698.456463,D6+0.0,F5+0.0,8\12 0.0%, o d --- | ---,9_0_0_|_0.0:0.0_0.0:0.0,
note,783.990873,E6+0.0,G5+0.0,10\12 0.0%, o f -23 | ---,1569_0_0_|_0.0:0.0_0.0:0.0,
note,880.000001,F#6+0.0,A5+0.0,0\12 0.0%, o f -2- | Bb ---,262689_0_0_|_0.0:0.0_0.0:0.0,
note,932.327524,G6+0.0,Bb5+0.0,1\12 0.0%, o f --- | Bb 4--,1310753_0_0_|_0.0:0.0_0.0:0.0,
