alto-saxophone-g#min-scale-2octs.csv
Instrument: Alto Saxophone
Transposition: -900 cents
Tonic: 440.0 Hz
Temperament: 12-TET
Description: In $scales$ collections` all pitches are shown as in tune relative to 12-TET` even though this might not always be the case. Also` there might be some errors
Type,Frequency (Hz),Transposed pitch,Concert pitch,TET step,Fingering,Fingering ID,Description
note,246.941651,Ab4+0.0,B3+0.0,2\12 0.0%, 123 G# | ---,3648_0_0_|_0.0:0.0_0.0:0.0,
note,277.182632,Bb4+0.0,C#4+0.0,4\12 0.0%, 12- | Bb ---,262720_0_0_|_0.0:0.0_0.0:0.0,
note,293.664769,B4+0.0,D4+0.0,5\12 0.0%, 1-- | ---,64_0_0_|_0.0:0.0_0.0:0.0,
note,329.627557,C#5+0.0,E4+0.0,7\12 0.0%, --- | ---,0_0_0_|_0.0:0.0_0.0:0.0,
note,369.994423,Eb5+0.0,F#4+0.0,9\12 0.0%, o 123 | 456 Eb,437257793_0_0_|_0.0:0.0_0.0:0.0,
note,391.995436,E5+0.0,G4+0.0,10\12 0.0%, o 123 | 45-,34604609_0_0_|_0.0:0.0_0.0:0.0,
note,440.0,F#5+0.0,A4+0.0,0\12 0.0%, o 123 | -5-,33556033_0_0_|_0.0:0.0_0.0:0.0,
note,493.883301,Ab5+0.0,B4+0.0,2\12 -0.0%, o 123 G# | ---,3649_0_0_|_0.0:0.0_0.0:0.0,
note,554.365262,Bb5+0.0,C#5+0.0,4\12 0.0%, o 12- | Bb ---,262721_0_0_|_0.0:0.0_0.0:0.0,
note,587.329536,B5+0.0,D5+0.0,5\12 0.0%, o 1-- | ---,65_0_0_|_0.0:0.0_0.0:0.0,
note,659.255114,C#6+0.0,E5+0.0,7\12 0.0%, o --- | ---,1_0_0_|_0.0:0.0_0.0:0.0,
note,739.988846,Eb6+0.0,F#5+0.0,9\12 0.0%, o eb d --- | ---,13_0_0_|_0.0:0.0_0.0:0.0,
note,783.990872,E6+0.0,G5+0.0,10\12 0.0%, o f -23 | ---,1569_0_0_|_0.0:0.0_0.0:0.0,
note,880.0,F#6+0.0,A5+0.0,0\12 0.0%, o f -2- | Bb ---,262689_0_0_|_0.0:0.0_0.0:0.0,
note,987.766602,Ab6+0.0,B5+0.0,2\12 -0.0%, o 123 | C Bb 4--,1443393_0_0_|_0.0:0.0_0.0:0.0,
