alto-saxophone-bdim7-arp.csv
Instrument: Alto Saxophone
Transposition: -900 cents
Tonic: 440.0 Hz
Temperament: 12-TET
Description: In $scales$ collections` all pitches are shown as in tune relative to 12-TET` even though this might not always be the case. Also` there might be some errors
Type,Frequency (Hz),Transposed pitch,Concert pitch,TET step,Fingering,Fingering ID,Description
note,146.832384,B3+0.0,D3+0.0,5\12 0.0%, 123 B || 456 C,705734208_0_0_|_0.0:0.0_0.0:0.0,
note,174.614116,D4+0.0,F3+0.0,8\12 0.0%, 123 B || 456,168863296_0_0_|_0.0:0.0_0.0:0.0,
note,207.652349,F4+0.0,Ab3+0.0,11\12 0.0%, 123 B || 4--,1091136_0_0_|_0.0:0.0_0.0:0.0,
note,246.941651,Ab4+0.0,B3+0.0,2\12 0.0%, 123 B | ---,9792_0_0_|_0.0:0.0_0.0:0.0,
note,293.664768,B4+0.0,D4+0.0,5\12 0.0%, 1-- | ---,64_0_0_|_0.0:0.0_0.0:0.0,
note,349.228232,D5+0.0,F4+0.0,8\12 0.0%, o 123 B || 456,168863297_0_0_|_0.0:0.0_0.0:0.0,
note,415.304698,F5+0.0,Ab4+0.0,11\12 0.0%, o 123 B || 4--,1091137_0_0_|_0.0:0.0_0.0:0.0,
note,493.883302,Ab5+0.0,B4+0.0,2\12 0.0%, o 123 B | ---,9793_0_0_|_0.0:0.0_0.0:0.0,
note,587.329537,B5+0.0,D5+0.0,5\12 0.0%, o 1-- | ---,65_0_0_|_0.0:0.0_0.0:0.0,
note,698.456464,D6+0.0,F5+0.0,8\12 0.0%, o d --- | ---,9_0_0_|_0.0:0.0_0.0:0.0,
note,830.609397,F6+0.0,Ab5+0.0,11\12 0.0%, o f -2- | ---,545_0_0_|_0.0:0.0_0.0:0.0,
note,987.766604,Ab6+0.0,B5+0.0,2\12 0.0%, o 123 | C Bb 4--,1443393_0_0_|_0.0:0.0_0.0:0.0,
