alto-saxophone-cdim7-arp.csv
Instrument: Alto Saxophone
Transposition: -900 cents
Tonic: 440.0 Hz
Temperament: 12-TET
Description: In $scales$ collections` all pitches are shown as in tune relative to 12-TET` even though this might not always be the case. Also` there might be some errors
Type,Frequency (Hz),Transposed pitch,Concert pitch,TET step,Fingering,Fingering ID,Description
note,155.563492,C4+0.0,Eb3+0.0,6\12 0.0%, 123 | 456 C,705693248_0_0_|_0.0:0.0_0.0:0.0,
note,184.997212,Eb4+0.0,F#3+0.0,9\12 0.0%, 123 | 456 Eb,437257792_0_0_|_0.0:0.0_0.0:0.0,
note,220.0,F#4+0.0,A3+0.0,0\12 0.0%, 123 | -5-,33556032_0_0_|_0.0:0.0_0.0:0.0,
note,261.625566,A4+0.0,C4+0.0,3\12 0.0%, 12- | ---,576_0_0_|_0.0:0.0_0.0:0.0,
note,311.126984,C5+0.0,Eb4+0.0,6\12 0.0%, -2- | ---,512_0_0_|_0.0:0.0_0.0:0.0,
note,369.994423,Eb5+0.0,F#4+0.0,9\12 0.0%, o 123 | 456 Eb,437257793_0_0_|_0.0:0.0_0.0:0.0,
note,440.000001,F#5+0.0,A4+0.0,0\12 0.0%, o 123 | -5-,33556033_0_0_|_0.0:0.0_0.0:0.0,
note,523.251131,A5+0.0,C5+0.0,3\12 0.0%, o 12- | ---,577_0_0_|_0.0:0.0_0.0:0.0,
note,622.253968,C6+0.0,Eb5+0.0,6\12 0.0%, o -2- | ---,513_0_0_|_0.0:0.0_0.0:0.0,
note,739.988847,Eb6+0.0,F#5+0.0,9\12 0.0%, o eb d --- | ---,13_0_0_|_0.0:0.0_0.0:0.0,
note,880.000001,F#6+0.0,A5+0.0,0\12 0.0%, o f -2- | Bb ---,262689_0_0_|_0.0:0.0_0.0:0.0,
note,1046.502263,A6+0.0,C6+0.0,3\12 0.0%, o -23 | 456,168822273_0_0_|_0.0:0.0_0.0:0.0,
