clarinet-in-bb-gharmin-scale-2octs.csv
Instrument: Clarinet in Bb
Transposition: -200 cents
Tonic: 440.0 Hz
Temperament: 12-TET
Description: In $scales$ collections` all pitches are shown as in tune relative to 12-TET` even though this might not always be the case. Also` there might be some errors
Type,Frequency (Hz),Transposed pitch,Concert pitch,TET step,Fingering,Fingering ID,Description
note,174.614115,G3+0.0,F3+0.0,8\12 -0.0%, T 123 | 456,5767506_0_0_|_0.0:0.0_0.0:0.0,
note,195.997718,A3+0.0,G3+0.0,10\12 0.0%, T 123 | 45-,1573202_0_0_|_0.0:0.0_0.0:0.0,
note,207.652349,Bb3+0.0,Ab3+0.0,11\12 0.0%, T 123 | 4--,524626_0_0_|_0.0:0.0_0.0:0.0,
note,233.08188,C4+0.0,Bb3+0.0,1\12 -0.0%, T 123 | ---,338_0_0_|_0.0:0.0_0.0:0.0,
note,261.625564,D4+0.0,C4+0.0,3\12 -0.0%, T 12- | ---,82_0_0_|_0.0:0.0_0.0:0.0,
note,277.18263,Eb4+0.0,C#4+0.0,4\12 -0.0%, T 12Eb- | ---,210_0_0_|_0.0:0.0_0.0:0.0,
note,329.627556,F#4+0.0,E4+0.0,7\12 -0.0%, 1-- | ---,16_0_0_|_0.0:0.0_0.0:0.0,
note,349.22823,G4+0.0,F4+0.0,8\12 -0.0%, --- | ---,0_0_0_|_0.0:0.0_0.0:0.0,
note,391.995435,A4+0.0,G4+0.0,10\12 -0.0%, A --- | ---,8_0_0_|_0.0:0.0_0.0:0.0,
note,415.304696,Bb4+0.0,Ab4+0.0,11\12 -0.0%, R A --- | ---,9_0_0_|_0.0:0.0_0.0:0.0,
note,466.16376,C5+0.0,Bb4+0.0,1\12 -0.0%, R T 123 | 456 F,22544723_0_0_|_0.0:0.0_0.0:0.0,
note,523.251129,D5+0.0,C5+0.0,3\12 -0.0%, R T 123 | 456,5767507_0_0_|_0.0:0.0_0.0:0.0,
note,554.36526,Eb5+0.0,C#5+0.0,4\12 -0.0%, R T 123 | 456 Ab,14156115_0_0_|_0.0:0.0_0.0:0.0,
note,659.255112,F#5+0.0,E5+0.0,7\12 -0.0%, R T 123 | -5-,1048915_0_0_|_0.0:0.0_0.0:0.0,
note,698.456461,G5+0.0,F5+0.0,8\12 -0.0%, R T 123 | ---,339_0_0_|_0.0:0.0_0.0:0.0,
