clarinet-in-bb-fmaj-scale-2octs.csv
Instrument: Clarinet in Bb
Transposition: -200 cents
Tonic: 440.0 Hz
Temperament: 12-TET
Description: In $scales$ collections` all pitches are shown as in tune relative to 12-TET` even though this might not always be the case. Also` there might be some errors
Type,Frequency (Hz),Transposed pitch,Concert pitch,TET step,Fingering,Fingering ID,Description
note,155.563492,F3+0.0,Eb3+0.0,6\12 0.0%, T 123 | 456 F,22544722_0_0_|_0.0:0.0_0.0:0.0,
note,174.614115,G3+0.0,F3+0.0,8\12 -0.0%, T 123 | 456,5767506_0_0_|_0.0:0.0_0.0:0.0,
note,195.997718,A3+0.0,G3+0.0,10\12 0.0%, T 123 | 45-,1573202_0_0_|_0.0:0.0_0.0:0.0,
note,207.652348,Bb3+0.0,Ab3+0.0,11\12 -0.0%, T 123 | 4--,524626_0_0_|_0.0:0.0_0.0:0.0,
note,233.08188,C4+0.0,Bb3+0.0,1\12 -0.0%, T 123 | ---,338_0_0_|_0.0:0.0_0.0:0.0,
note,261.625565,D4+0.0,C4+0.0,3\12 -0.0%, T 12- | ---,82_0_0_|_0.0:0.0_0.0:0.0,
note,293.664767,E4+0.0,D4+0.0,5\12 -0.0%, T 1-- | ---,18_0_0_|_0.0:0.0_0.0:0.0,
note,311.126983,F4+0.0,Eb4+0.0,6\12 -0.0%, T --- | ---,2_0_0_|_0.0:0.0_0.0:0.0,
note,349.228231,G4+0.0,F4+0.0,8\12 -0.0%, --- | ---,0_0_0_|_0.0:0.0_0.0:0.0,
note,391.995435,A4+0.0,G4+0.0,10\12 -0.0%, A --- | ---,8_0_0_|_0.0:0.0_0.0:0.0,
note,415.304697,Bb4+0.0,Ab4+0.0,11\12 -0.0%, R A --- | ---,9_0_0_|_0.0:0.0_0.0:0.0,
note,466.163761,C5+0.0,Bb4+0.0,1\12 -0.0%, R T 123 | 456 F,22544723_0_0_|_0.0:0.0_0.0:0.0,
note,523.251129,D5+0.0,C5+0.0,3\12 -0.0%, R T 123 | 456,5767507_0_0_|_0.0:0.0_0.0:0.0,
note,587.329534,E5+0.0,D5+0.0,5\12 -0.0%, R T 123 | 45-,1573203_0_0_|_0.0:0.0_0.0:0.0,
note,622.253966,F5+0.0,Eb5+0.0,6\12 -0.0%, R T 123 | 4--,524627_0_0_|_0.0:0.0_0.0:0.0,
