clarinet-in-bb-ebmin-scale-2octs.csv
Instrument: Clarinet in Bb
Transposition: -200 cents
Tonic: 440.0 Hz
Temperament: 12-TET
Description: In $scales$ collections` all pitches are shown as in tune relative to 12-TET` even though this might not always be the case. Also` there might be some errors
Type,Frequency (Hz),Transposed pitch,Concert pitch,TET step,Fingering,Fingering ID,Description
note,277.18263,Eb4+0.0,C#4+0.0,4\12 -0.0%, T 12Eb- | ---,210_0_0_|_0.0:0.0_0.0:0.0,
note,311.126983,F4+0.0,Eb4+0.0,6\12 -0.0%, T --- | ---,2_0_0_|_0.0:0.0_0.0:0.0,
note,329.627557,F#4+0.0,E4+0.0,7\12 0.0%, T --- | f# ---,65538_0_0_|_0.0:0.0_0.0:0.0,
note,369.994422,Ab4+0.0,F#4+0.0,9\12 -0.0%, G# --- | ---,4_0_0_|_0.0:0.0_0.0:0.0,
note,415.304697,Bb4+0.0,Ab4+0.0,11\12 -0.0%, R A --- | ---,9_0_0_|_0.0:0.0_0.0:0.0,
note,439.999999,B4+0.0,A4+0.0,0\12 -0.0%, R T 123 | 456 E,72876371_0_0_|_0.0:0.0_0.0:0.0,
note,493.883301,C#5+0.0,B4+0.0,2\12 -0.0%, R T 123 F# | 456,5769555_0_0_|_0.0:0.0_0.0:0.0,
note,554.36526,Eb5+0.0,C#5+0.0,4\12 -0.0%, R T 123 | 456 Ab,14156115_0_0_|_0.0:0.0_0.0:0.0,
note,622.253967,F5+0.0,Eb5+0.0,6\12 -0.0%, R T 123 | 4--,524627_0_0_|_0.0:0.0_0.0:0.0,
note,659.255113,F#5+0.0,E5+0.0,7\12 -0.0%, R T 123 | 4-B-,2621779_0_0_|_0.0:0.0_0.0:0.0,
note,739.988845,Ab5+0.0,F#5+0.0,9\12 -0.0%, R T 123 C# | ---,851_0_0_|_0.0:0.0_0.0:0.0,
note,830.609394,Bb5+0.0,Ab5+0.0,11\12 -0.0%, R T 12- | eb ---,131155_0_0_|_0.0:0.0_0.0:0.0,
note,879.999999,B5+0.0,A5+0.0,0\12 -0.0%, R T 1-- | ---,19_0_0_|_0.0:0.0_0.0:0.0,
note,987.766601,C#6+0.0,B5+0.0,2\12 -0.0%, R T -23 | 45-,1573187_0_0_|_0.0:0.0_0.0:0.0,
note,1108.730523,Eb6+0.0,C#6+0.0,4\12 -0.0%, R T -23 | -5- Ab,9437507_0_0_|_0.0:0.0_0.0:0.0,
