clarinet-in-bb-egbbc#-dim7-arp.csv
Instrument: Clarinet in Bb
Transposition: -200 cents
Tonic: 440.0 Hz
Temperament: 12-TET
Description: In $scales$ collections` all pitches are shown as in tune relative to 12-TET` even though this might not always be the case. Also` there might be some errors
Type,Frequency (Hz),Transposed pitch,Concert pitch,TET step,Fingering,Fingering ID,Description
note,146.832384,E3+0.0,D3+0.0,5\12 0.0%, T 123 | 456 E,72876370_0_0_|_0.0:0.0_0.0:0.0,
note,174.614116,G3+0.0,F3+0.0,8\12 0.0%, T 123 | 456,5767506_0_0_|_0.0:0.0_0.0:0.0,
note,207.652349,Bb3+0.0,Ab3+0.0,11\12 0.0%, T 123 | 4--,524626_0_0_|_0.0:0.0_0.0:0.0,
note,246.941651,C#4+0.0,B3+0.0,2\12 0.0%, T 123 C# | ---,850_0_0_|_0.0:0.0_0.0:0.0,
note,293.664768,E4+0.0,D4+0.0,5\12 0.0%, T 1-- | ---,18_0_0_|_0.0:0.0_0.0:0.0,
note,349.228232,G4+0.0,F4+0.0,8\12 0.0%, --- | ---,0_0_0_|_0.0:0.0_0.0:0.0,
note,415.304698,Bb4+0.0,Ab4+0.0,11\12 0.0%, R A --- | ---,9_0_0_|_0.0:0.0_0.0:0.0,
note,493.883302,C#5+0.0,B4+0.0,2\12 0.0%, R T 123 | 456 F#,39321939_0_0_|_0.0:0.0_0.0:0.0,
note,587.329536,E5+0.0,D5+0.0,5\12 0.0%, R T 123 | 45-,1573203_0_0_|_0.0:0.0_0.0:0.0,
note,698.456463,G5+0.0,F5+0.0,8\12 0.0%, R T 123 | ---,339_0_0_|_0.0:0.0_0.0:0.0,
note,830.609396,Bb5+0.0,Ab5+0.0,11\12 0.0%, R T 1-- | 4--,524307_0_0_|_0.0:0.0_0.0:0.0,
note,987.766603,C#6+0.0,B5+0.0,2\12 0.0%, R T -23 | 45-,1573187_0_0_|_0.0:0.0_0.0:0.0,
