clarinet-in-bb-f#aceb-dim7-arp.csv
Instrument: Clarinet in Bb
Transposition: -200 cents
Tonic: 440.0 Hz
Temperament: 12-TET
Description: In $scales$ collections` all pitches are shown as in tune relative to 12-TET` even though this might not always be the case. Also` there might be some errors
Type,Frequency (Hz),Transposed pitch,Concert pitch,TET step,Fingering,Fingering ID,Description
note,164.813779,F#3+0.0,E3+0.0,7\12 0.0%, T 123 | 456 F#,39321938_0_0_|_0.0:0.0_0.0:0.0,
note,195.997718,A3+0.0,G3+0.0,10\12 0.0%, T 123 | 45-,1573202_0_0_|_0.0:0.0_0.0:0.0,
note,233.081881,C4+0.0,Bb3+0.0,1\12 0.0%, T 123 | ---,338_0_0_|_0.0:0.0_0.0:0.0,
note,277.182631,Eb4+0.0,C#4+0.0,4\12 0.0%, T 12- | eb ---,131154_0_0_|_0.0:0.0_0.0:0.0,
note,329.627557,F#4+0.0,E4+0.0,7\12 0.0%, 1-- | ---,16_0_0_|_0.0:0.0_0.0:0.0,
note,391.995436,A4+0.0,G4+0.0,10\12 0.0%, A --- | ---,8_0_0_|_0.0:0.0_0.0:0.0,
note,466.163762,C5+0.0,Bb4+0.0,1\12 0.0%, R T 123 F | 456,5768531_0_0_|_0.0:0.0_0.0:0.0,
note,554.365262,Eb5+0.0,C#5+0.0,4\12 0.0%, R T 123 | 456 Ab,14156115_0_0_|_0.0:0.0_0.0:0.0,
note,659.255114,F#5+0.0,E5+0.0,7\12 0.0%, R T 123 | -5-,1048915_0_0_|_0.0:0.0_0.0:0.0,
note,783.990873,A5+0.0,G5+0.0,10\12 0.0%, R T 12- | ---,83_0_0_|_0.0:0.0_0.0:0.0,
note,932.327524,C6+0.0,Bb5+0.0,1\12 0.0%, R T --- | ---,3_0_0_|_0.0:0.0_0.0:0.0,
note,1108.730525,Eb6+0.0,C#6+0.0,4\12 0.0%, R T -23 | -5- Ab,9437507_0_0_|_0.0:0.0_0.0:0.0,
