clarinet-in-bb-fg#bd-dim7-arp.csv
Instrument: Clarinet in Bb
Transposition: -200 cents
Tonic: 440.0 Hz
Temperament: 12-TET
Description: In $scales$ collections` all pitches are shown as in tune relative to 12-TET` even though this might not always be the case. Also` there might be some errors
Type,Frequency (Hz),Transposed pitch,Concert pitch,TET step,Fingering,Fingering ID,Description
note,155.563492,F3+0.0,Eb3+0.0,6\12 0.0%, T 123 F | 456,5768530_0_0_|_0.0:0.0_0.0:0.0,
note,184.997211,Ab3+0.0,F#3+0.0,9\12 -0.0%, T 123 | 456 Ab,14156114_0_0_|_0.0:0.0_0.0:0.0,
note,220.0,B3+0.0,A3+0.0,0\12 0.0%, T 123 | -5-,1048914_0_0_|_0.0:0.0_0.0:0.0,
note,261.625566,D4+0.0,C4+0.0,3\12 0.0%, T 12- | ---,82_0_0_|_0.0:0.0_0.0:0.0,
note,311.126984,F4+0.0,Eb4+0.0,6\12 0.0%, T --- | ---,2_0_0_|_0.0:0.0_0.0:0.0,
note,369.994423,Ab4+0.0,F#4+0.0,9\12 0.0%, G# --- | ---,4_0_0_|_0.0:0.0_0.0:0.0,
note,440.0,B4+0.0,A4+0.0,0\12 0.0%, R T 123 | 456 E,72876371_0_0_|_0.0:0.0_0.0:0.0,
note,523.251131,D5+0.0,C5+0.0,3\12 0.0%, R T 123 | 456,5767507_0_0_|_0.0:0.0_0.0:0.0,
note,622.253968,F5+0.0,Eb5+0.0,6\12 0.0%, R T 123 | 4--,524627_0_0_|_0.0:0.0_0.0:0.0,
note,739.988846,Ab5+0.0,F#5+0.0,9\12 0.0%, R T 123 C# | ---,851_0_0_|_0.0:0.0_0.0:0.0,
note,880.000001,B5+0.0,A5+0.0,0\12 0.0%, R T 1-- | ---,19_0_0_|_0.0:0.0_0.0:0.0,
note,1046.502262,D6+0.0,C6+0.0,3\12 0.0%, R T -23 | 4-- Ab,8913219_0_0_|_0.0:0.0_0.0:0.0,
