flute-aharmin-scale-2octs.csv
Instrument: Flute
Transposition: 0 cents
Tonic: 440.0 Hz
Temperament: 12-TET
Description: In $scales$ collections` all pitches are shown as in tune relative to 12-TET` even though this might not always be the case. Also` there might be some errors
Type,Frequency (Hz),Transposed pitch,Concert pitch,TET step,Fingering,Fingering ID,Description
note,440.0,A4+0.0,A4+0.0,0\12 0.0%, T 12- | --- Eb,65558_0_0_|_0.0:0.0_0.0:0.0,
note,493.883301,B4+0.0,B4+0.0,2\12 -0.0%, T 1-- | --- Eb,65542_0_0_|_0.0:0.0_0.0:0.0,
note,523.251131,C5+0.0,C5+0.0,3\12 0.0%, 1-- | --- Eb,65540_0_0_|_0.0:0.0_0.0:0.0,
note,587.329536,D5+0.0,D5+0.0,5\12 0.0%, T -23 | 456,43058_0_0_|_0.0:0.0_0.0:0.0,
note,659.255114,E5+0.0,E5+0.0,7\12 0.0%, T 123 | 45- Eb,75830_0_0_|_0.0:0.0_0.0:0.0,
note,698.456462,F5+0.0,F5+0.0,8\12 -0.0%, T 123 | 4-- Eb,67638_0_0_|_0.0:0.0_0.0:0.0,
note,830.609395,Ab5+0.0,Ab5+0.0,11\12 -0.0%, T 123 G# | --- Eb,65654_0_0_|_0.0:0.0_0.0:0.0,
note,880.0,A5+0.0,A5+0.0,0\12 0.0%, T 12- | --- Eb,65558_0_0_|_0.0:0.0_0.0:0.0,
note,987.766602,B5+0.0,B5+0.0,2\12 -0.0%, T 1-- | --- Eb,65542_0_0_|_0.0:0.0_0.0:0.0,
note,1046.50226,C6+0.0,C6+0.0,3\12 -0.0%, 1-- | --- Eb,65540_0_0_|_0.0:0.0_0.0:0.0,
note,1174.659071,D6+0.0,D6+0.0,5\12 -0.0%, T -23 | ---,50_0_0_|_0.0:0.0_0.0:0.0,
note,1318.510227,E6+0.0,E6+0.0,7\12 -0.0%, T 12- | 45- Eb,75798_0_0_|_0.0:0.0_0.0:0.0,
note,1396.912925,F6+0.0,F6+0.0,8\12 -0.0%, T 1-3 | 4-- Eb,67622_0_0_|_0.0:0.0_0.0:0.0,
note,1661.218789,Ab6+0.0,Ab6+0.0,11\12 -0.0%, -23 G# | --- Eb,65648_0_0_|_0.0:0.0_0.0:0.0,
note,1759.999999,A6+0.0,A6+0.0,0\12 -0.0%, T -2- | 4-- Eb,67602_0_0_|_0.0:0.0_0.0:0.0,
