flute-bbmaj-scale-2octs.csv
Instrument: Flute
Transposition: 0 cents
Tonic: 440.0 Hz
Temperament: 12-TET
Description: In $scales$ collections` all pitches are shown as in tune relative to 12-TET` even though this might not always be the case. Also` there might be some errors
Type,Frequency (Hz),Transposed pitch,Concert pitch,TET step,Fingering,Fingering ID,Description
note,466.163761,Bb4+0.0,Bb4+0.0,1\12 -0.0%, Bb 1-- | 4-- Eb,67589_0_0_|_0.0:0.0_0.0:0.0,
note,523.251131,C5+0.0,C5+0.0,3\12 0.0%, 1-- | --- Eb,65540_0_0_|_0.0:0.0_0.0:0.0,
note,587.329535,D5+0.0,D5+0.0,5\12 -0.0%, Bb -23 | 456,43057_0_0_|_0.0:0.0_0.0:0.0,
note,622.253967,Eb5+0.0,Eb5+0.0,6\12 -0.0%, Bb -23 | 456 Eb,108593_0_0_|_0.0:0.0_0.0:0.0,
note,698.456462,F5+0.0,F5+0.0,8\12 -0.0%, Bb 123 | 4-- Eb,67637_0_0_|_0.0:0.0_0.0:0.0,
note,783.990872,G5+0.0,G5+0.0,10\12 0.0%, Bb 123 | --- Eb,65589_0_0_|_0.0:0.0_0.0:0.0,
note,879.999999,A5+0.0,A5+0.0,0\12 -0.0%, Bb 12- | --- Eb,65557_0_0_|_0.0:0.0_0.0:0.0,
note,932.327523,Bb5+0.0,Bb5+0.0,1\12 -0.0%, Bb 1-- | 4-- Eb,67589_0_0_|_0.0:0.0_0.0:0.0,
note,1046.502261,C6+0.0,C6+0.0,3\12 -0.0%, 1-- | --- Eb,65540_0_0_|_0.0:0.0_0.0:0.0,
note,1174.659072,D6+0.0,D6+0.0,5\12 0.0%, Bb -23 | --- Eb,65585_0_0_|_0.0:0.0_0.0:0.0,
note,1244.507935,Eb6+0.0,Eb6+0.0,6\12 0.0%, Bb 123 G# | 456 Eb,108661_0_0_|_0.0:0.0_0.0:0.0,
note,1396.912926,F6+0.0,F6+0.0,8\12 0.0%, Bb 1-3 | 4-- Eb,67621_0_0_|_0.0:0.0_0.0:0.0,
note,1567.981744,G6+0.0,G6+0.0,10\12 0.0%, 123 | --- Eb,65588_0_0_|_0.0:0.0_0.0:0.0,
note,1760.0,A6+0.0,A6+0.0,0\12 0.0%, T -2- | 4-- Eb,67602_0_0_|_0.0:0.0_0.0:0.0,
note,1864.655046,Bb6+0.0,Bb6+0.0,1\12 -0.0%, T --- | 4d--,6146_0_0_|_0.0:0.0_0.0:0.0,
