flute-dmaj-scale-2octs.csv
Instrument: Flute
Transposition: 0 cents
Tonic: 440.0 Hz
Temperament: 12-TET
Description: In $scales$ collections` all pitches are shown as in tune relative to 12-TET` even though this might not always be the case. Also` there might be some errors
Type,Frequency (Hz),Transposed pitch,Concert pitch,TET step,Fingering,Fingering ID,Description
note,293.664768,D4+0.0,D4+0.0,5\12 0.0%, T 123 | 456,43062_0_0_|_0.0:0.0_0.0:0.0,
note,329.627557,E4+0.0,E4+0.0,7\12 0.0%, T 123 | 45- Eb,75830_0_0_|_0.0:0.0_0.0:0.0,
note,369.994423,F#4+0.0,F#4+0.0,9\12 0.0%, T 123 | -5- Eb,73782_0_0_|_0.0:0.0_0.0:0.0,
note,391.995436,G4+0.0,G4+0.0,10\12 0.0%, T 123 | --- Eb,65590_0_0_|_0.0:0.0_0.0:0.0,
note,440.0,A4+0.0,A4+0.0,0\12 0.0%, T 12- | --- Eb,65558_0_0_|_0.0:0.0_0.0:0.0,
note,493.883301,B4+0.0,B4+0.0,2\12 -0.0%, T 1-- | --- Eb,65542_0_0_|_0.0:0.0_0.0:0.0,
note,554.365262,C#5+0.0,C#5+0.0,4\12 0.0%, --- | --- Eb,65536_0_0_|_0.0:0.0_0.0:0.0,
note,587.329536,D5+0.0,D5+0.0,5\12 0.0%, T -23 | 456,43058_0_0_|_0.0:0.0_0.0:0.0,
note,659.255114,E5+0.0,E5+0.0,7\12 0.0%, T 123 | 45- Eb,75830_0_0_|_0.0:0.0_0.0:0.0,
note,739.988846,F#5+0.0,F#5+0.0,9\12 0.0%, T 123 | -5- Eb,73782_0_0_|_0.0:0.0_0.0:0.0,
note,783.990872,G5+0.0,G5+0.0,10\12 0.0%, T 123 | --- Eb,65590_0_0_|_0.0:0.0_0.0:0.0,
note,880.0,A5+0.0,A5+0.0,0\12 0.0%, T 12- | --- Eb,65558_0_0_|_0.0:0.0_0.0:0.0,
note,987.766602,B5+0.0,B5+0.0,2\12 -0.0%, T 1-- | --- Eb,65542_0_0_|_0.0:0.0_0.0:0.0,
note,1108.730523,C#6+0.0,C#6+0.0,4\12 -0.0%, --- | --- Eb,65536_0_0_|_0.0:0.0_0.0:0.0,
note,1174.659071,D6+0.0,D6+0.0,5\12 -0.0%, T -23 | --- Eb,65586_0_0_|_0.0:0.0_0.0:0.0,
