flute-ebmaj-scale-2octs.csv
Instrument: Flute
Transposition: 0 cents
Tonic: 440.0 Hz
Temperament: 12-TET
Description: In $scales$ collections` all pitches are shown as in tune relative to 12-TET` even though this might not always be the case. Also` there might be some errors
Type,Frequency (Hz),Transposed pitch,Concert pitch,TET step,Fingering,Fingering ID,Description
note,311.126984,Eb4+0.0,Eb4+0.0,6\12 0.0%, Bb 123 | 456 Eb,108597_0_0_|_0.0:0.0_0.0:0.0,
note,349.228231,F4+0.0,F4+0.0,8\12 -0.0%, Bb 123 | 4-- Eb,67637_0_0_|_0.0:0.0_0.0:0.0,
note,391.995436,G4+0.0,G4+0.0,10\12 0.0%, Bb 123 | --- Eb,65589_0_0_|_0.0:0.0_0.0:0.0,
note,415.304698,Ab4+0.0,Ab4+0.0,11\12 0.0%, Bb 123 G# | --- Eb,65653_0_0_|_0.0:0.0_0.0:0.0,
note,466.163761,Bb4+0.0,Bb4+0.0,1\12 -0.0%, Bb 1-- | --- Eb,65541_0_0_|_0.0:0.0_0.0:0.0,
note,523.25113,C5+0.0,C5+0.0,3\12 -0.0%, 1-- | --- Eb,65540_0_0_|_0.0:0.0_0.0:0.0,
note,587.329536,D5+0.0,D5+0.0,5\12 0.0%, Bb -23 | 456,43057_0_0_|_0.0:0.0_0.0:0.0,
note,622.253968,Eb5+0.0,Eb5+0.0,6\12 0.0%, Bb -23 | 456 Eb,108593_0_0_|_0.0:0.0_0.0:0.0,
note,698.456463,F5+0.0,F5+0.0,8\12 0.0%, Bb 123 | 4-- Eb,67637_0_0_|_0.0:0.0_0.0:0.0,
note,783.990873,G5+0.0,G5+0.0,10\12 0.0%, Bb 123 | --- Eb,65589_0_0_|_0.0:0.0_0.0:0.0,
note,830.609395,Ab5+0.0,Ab5+0.0,11\12 -0.0%, Bb 123 G# | --- Eb,65653_0_0_|_0.0:0.0_0.0:0.0,
note,932.327523,Bb5+0.0,Bb5+0.0,1\12 -0.0%, Bb 1-- | --- Eb,65541_0_0_|_0.0:0.0_0.0:0.0,
note,1046.502261,C6+0.0,C6+0.0,3\12 -0.0%, 1-- | --- Eb,65540_0_0_|_0.0:0.0_0.0:0.0,
note,1174.659071,D6+0.0,D6+0.0,5\12 -0.0%, Bb -23 | ---,49_0_0_|_0.0:0.0_0.0:0.0,
note,1244.507934,Eb6+0.0,Eb6+0.0,6\12 -0.0%, Bb 123 G# | 456 Eb,108661_0_0_|_0.0:0.0_0.0:0.0,
