flute-bbmin-scale-2octs.csv
Instrument: Flute
Transposition: 0 cents
Tonic: 440.0 Hz
Temperament: 12-TET
Description: In $scales$ collections` all pitches are shown as in tune relative to 12-TET` even though this might not always be the case. Also` there might be some errors
Type,Frequency (Hz),Transposed pitch,Concert pitch,TET step,Fingering,Fingering ID,Description
note,466.163761,Bb4+0.0,Bb4+0.0,1\12 -0.0%, Bb 1-- | 4-- Eb,67589_0_0_|_0.0:0.0_0.0:0.0,
note,523.251131,C5+0.0,C5+0.0,3\12 0.0%, 1-- | --- Eb,65540_0_0_|_0.0:0.0_0.0:0.0,
note,554.365262,C#5+0.0,C#5+0.0,4\12 0.0%, --- | --- Eb,65536_0_0_|_0.0:0.0_0.0:0.0,
note,622.253967,Eb5+0.0,Eb5+0.0,6\12 -0.0%, Bb -23 | 456 Eb,108593_0_0_|_0.0:0.0_0.0:0.0,
note,698.456462,F5+0.0,F5+0.0,8\12 -0.0%, Bb 123 | 4-- Eb,67637_0_0_|_0.0:0.0_0.0:0.0,
note,739.988845,F#5+0.0,F#5+0.0,9\12 -0.0%, Bb 123 | --6 Eb,98357_0_0_|_0.0:0.0_0.0:0.0,
note,879.999999,A5+0.0,A5+0.0,0\12 -0.0%, Bb 123 G# | --- Eb,65653_0_0_|_0.0:0.0_0.0:0.0,
note,932.327523,Bb5+0.0,Bb5+0.0,1\12 -0.0%, Bb 1-- | 4-- Eb,67589_0_0_|_0.0:0.0_0.0:0.0,
note,1046.502261,C6+0.0,C6+0.0,3\12 -0.0%, 1-- | --- Eb,65540_0_0_|_0.0:0.0_0.0:0.0,
note,1108.730524,C#6+0.0,C#6+0.0,4\12 0.0%, --- | --- Eb,65536_0_0_|_0.0:0.0_0.0:0.0,
note,1244.507935,Eb6+0.0,Eb6+0.0,6\12 0.0%, T 123 G# | 456 Eb,108662_0_0_|_0.0:0.0_0.0:0.0,
note,1396.912926,F6+0.0,F6+0.0,8\12 0.0%, T 1-3 | 4-- Eb,67622_0_0_|_0.0:0.0_0.0:0.0,
note,1479.977691,F#6+0.0,F#6+0.0,9\12 0.0%, T 1-3 | --6 Eb,98342_0_0_|_0.0:0.0_0.0:0.0,
note,1760.0,A6+0.0,A6+0.0,0\12 0.0%, -23 G# | --- Eb,65648_0_0_|_0.0:0.0_0.0:0.0,
note,1864.655046,Bb6+0.0,Bb6+0.0,1\12 -0.0%, T --- | 4d--,6146_0_0_|_0.0:0.0_0.0:0.0,
