flute-c#egbb-dim7-arp.csv
Instrument: Flute
Transposition: 0 cents
Tonic: 440.0 Hz
Temperament: 12-TET
Description: In $scales$ collections` all pitches are shown as in tune relative to 12-TET` even though this might not always be the case. Also` there might be some errors
Type,Frequency (Hz),Transposed pitch,Concert pitch,TET step,Fingering,Fingering ID,Description
note,277.182631,C#4+0.0,C#4+0.0,4\12 0.0%, T 123 | 456 C#,174134_0_0_|_0.0:0.0_0.0:0.0,
note,329.627557,E4+0.0,E4+0.0,7\12 0.0%, T 123 | 45-,10294_0_0_|_0.0:0.0_0.0:0.0,
note,391.995436,G4+0.0,G4+0.0,10\12 0.0%, T 123 | --- Eb,65590_0_0_|_0.0:0.0_0.0:0.0,
note,466.163761,Bb4+0.0,Bb4+0.0,1\12 -0.0%, T 1-- | Bb --- Eb,66566_0_0_|_0.0:0.0_0.0:0.0,
note,554.365261,C#5+0.0,C#5+0.0,4\12 -0.0%, --- | --- Eb,65536_0_0_|_0.0:0.0_0.0:0.0,
note,659.255113,E5+0.0,E5+0.0,7\12 -0.0%, T 123 | 45- Eb,75830_0_0_|_0.0:0.0_0.0:0.0,
note,783.990871,G5+0.0,G5+0.0,10\12 -0.0%, T 123 | --- Eb,65590_0_0_|_0.0:0.0_0.0:0.0,
note,932.327522,Bb5+0.0,Bb5+0.0,1\12 -0.0%, T 1-- | Bb --- Eb,66566_0_0_|_0.0:0.0_0.0:0.0,
note,1108.730523,C#6+0.0,C#6+0.0,4\12 -0.0%, --- | --- Eb,65536_0_0_|_0.0:0.0_0.0:0.0,
note,1318.510226,E6+0.0,E6+0.0,7\12 -0.0%, T 12- | 45- Eb,75798_0_0_|_0.0:0.0_0.0:0.0,
note,1567.981742,G6+0.0,G6+0.0,10\12 -0.0%, 123 | --- Eb,65588_0_0_|_0.0:0.0_0.0:0.0,
note,1864.655044,Bb6+0.0,Bb6+0.0,1\12 -0.0%, T --- | 4d--,6146_0_0_|_0.0:0.0_0.0:0.0,
