flute-cchro-scale-3octs.csv
Instrument: Flute
Transposition: 0 cents
Tonic: 440.0 Hz
Temperament: 12-TET
Description: In $scales$ collections` all pitches are shown as in tune relative to 12-TET` even though this might not always be the case. Also` there might be some errors
Type,Frequency (Hz),Transposed pitch,Concert pitch,TET step,Fingering,Fingering ID,Description
note,261.625566,C4+0.0,C4+0.0,3\12 0.0%, T 123 | 456 C,305206_0_0_|_0.0:0.0_0.0:0.0,
note,277.182632,C#4+0.0,C#4+0.0,4\12 0.0%, T 123 | 456 C#,174134_0_0_|_0.0:0.0_0.0:0.0,
note,293.664769,D4+0.0,D4+0.0,5\12 0.0%, T 123 | 456,43062_0_0_|_0.0:0.0_0.0:0.0,
note,311.126985,Eb4+0.0,Eb4+0.0,6\12 0.0%, T 123 | 456 Eb,108598_0_0_|_0.0:0.0_0.0:0.0,
note,329.627558,E4+0.0,E4+0.0,7\12 0.0%, T 123 | 45- Eb,75830_0_0_|_0.0:0.0_0.0:0.0,
note,349.228232,F4+0.0,F4+0.0,8\12 0.0%, T 123 | 4-- Eb,67638_0_0_|_0.0:0.0_0.0:0.0,
note,369.994424,F#4+0.0,F#4+0.0,9\12 0.0%, T 123 | --6 Eb,98358_0_0_|_0.0:0.0_0.0:0.0,
note,391.995437,G4+0.0,G4+0.0,10\12 0.0%, T 123 | --- Eb,65590_0_0_|_0.0:0.0_0.0:0.0,
note,415.304699,Ab4+0.0,Ab4+0.0,11\12 0.0%, T 123 G# | --- Eb,65654_0_0_|_0.0:0.0_0.0:0.0,
note,440.000001,A4+0.0,A4+0.0,0\12 0.0%, T 12- | --- Eb,65558_0_0_|_0.0:0.0_0.0:0.0,
note,466.163763,Bb4+0.0,Bb4+0.0,1\12 0.0%, T 1-- | Bb --- Eb,66566_0_0_|_0.0:0.0_0.0:0.0,
note,493.883303,B4+0.0,B4+0.0,2\12 0.0%, T 1-- | --- Eb,65542_0_0_|_0.0:0.0_0.0:0.0,
note,523.251132,C5+0.0,C5+0.0,3\12 0.0%, 1-- | --- Eb,65540_0_0_|_0.0:0.0_0.0:0.0,
note,554.365263,C#5+0.0,C#5+0.0,4\12 0.0%, --- | --- Eb,65536_0_0_|_0.0:0.0_0.0:0.0,
note,587.329537,D5+0.0,D5+0.0,5\12 0.0%, T -23 | 456,43058_0_0_|_0.0:0.0_0.0:0.0,
note,622.253969,Eb5+0.0,Eb5+0.0,6\12 0.0%, T -23 | 456 Eb,108594_0_0_|_0.0:0.0_0.0:0.0,
note,659.255116,E5+0.0,E5+0.0,7\12 0.0%, T 123 | 45- Eb,75830_0_0_|_0.0:0.0_0.0:0.0,
note,698.456465,F5+0.0,F5+0.0,8\12 0.0%, T 123 | 4-- Eb,67638_0_0_|_0.0:0.0_0.0:0.0,
note,739.988847,F#5+0.0,F#5+0.0,9\12 0.0%, T 123 | --6 Eb,98358_0_0_|_0.0:0.0_0.0:0.0,
note,783.990874,G5+0.0,G5+0.0,10\12 0.0%, T 123 | --- Eb,65590_0_0_|_0.0:0.0_0.0:0.0,
note,830.609397,Ab5+0.0,Ab5+0.0,11\12 0.0%, T 123 G# | --- Eb,65654_0_0_|_0.0:0.0_0.0:0.0,
note,880.000002,A5+0.0,A5+0.0,0\12 0.0%, T 12- | --- Eb,65558_0_0_|_0.0:0.0_0.0:0.0,
note,932.327525,Bb5+0.0,Bb5+0.0,1\12 0.0%, T 1-- | Bb --- Eb,66566_0_0_|_0.0:0.0_0.0:0.0,
note,987.766605,B5+0.0,B5+0.0,2\12 0.0%, T 1-- | --- Eb,65542_0_0_|_0.0:0.0_0.0:0.0,
note,1046.502264,C6+0.0,C6+0.0,3\12 0.0%, 1-- | --- Eb,65540_0_0_|_0.0:0.0_0.0:0.0,
note,1108.730527,C#6+0.0,C#6+0.0,4\12 0.0%, --- | --- Eb,65536_0_0_|_0.0:0.0_0.0:0.0,
note,1174.659075,D6+0.0,D6+0.0,5\12 0.0%, T -23 | --- Eb,65586_0_0_|_0.0:0.0_0.0:0.0,
note,1244.507938,Eb6+0.0,Eb6+0.0,6\12 0.0%, T 123 G# | 456 Eb,108662_0_0_|_0.0:0.0_0.0:0.0,
note,1318.510231,E6+0.0,E6+0.0,7\12 0.0%, T 12- | 45- Eb,75798_0_0_|_0.0:0.0_0.0:0.0,
note,1396.912929,F6+0.0,F6+0.0,8\12 0.0%, T 1-3 | 4-- Eb,67622_0_0_|_0.0:0.0_0.0:0.0,
note,1479.977695,F#6+0.0,F#6+0.0,9\12 0.0%, T 1-3 | --6 Eb,98342_0_0_|_0.0:0.0_0.0:0.0,
note,1567.981748,G6+0.0,G6+0.0,10\12 0.0%, 123 | --- Eb,65588_0_0_|_0.0:0.0_0.0:0.0,
note,1661.218794,Ab6+0.0,Ab6+0.0,11\12 0.0%, -23 G# | --- Eb,65648_0_0_|_0.0:0.0_0.0:0.0,
note,1760.000004,A6+0.0,A6+0.0,0\12 0.0%, T -2- | 4-- Eb,67602_0_0_|_0.0:0.0_0.0:0.0,
note,1864.655051,Bb6+0.0,Bb6+0.0,1\12 0.0%, T --- | 4d--,6146_0_0_|_0.0:0.0_0.0:0.0,
note,1975.53321,B6+0.0,B6+0.0,2\12 0.0%, T 1-3 | --eb-,16422_0_0_|_0.0:0.0_0.0:0.0,
note,2093.004528,C7+0.0,C7+0.0,3\12 0.0%, 123 G# | --- g,1048692_0_0_|_0.0:0.0_0.0:0.0,
