flute-cebf#a-dim7-arp.csv
Instrument: Flute
Transposition: 0 cents
Tonic: 440.0 Hz
Temperament: 12-TET
Description: In $scales$ collections` all pitches are shown as in tune relative to 12-TET` even though this might not always be the case. Also` there might be some errors
Type,Frequency (Hz),Transposed pitch,Concert pitch,TET step,Fingering,Fingering ID,Description
note,261.625565,C4+0.0,C4+0.0,3\12 -0.0%, T 123 | 456 C,305206_0_0_|_0.0:0.0_0.0:0.0,
note,311.126983,Eb4+0.0,Eb4+0.0,6\12 -0.0%, T 123 | 456 Eb,108598_0_0_|_0.0:0.0_0.0:0.0,
note,369.994422,F#4+0.0,F#4+0.0,9\12 -0.0%, T 123 | --6 Eb,98358_0_0_|_0.0:0.0_0.0:0.0,
note,440.0,A4+0.0,A4+0.0,0\12 0.0%, T 12- | --- Eb,65558_0_0_|_0.0:0.0_0.0:0.0,
note,523.25113,C5+0.0,C5+0.0,3\12 -0.0%, 1-- | --- Eb,65540_0_0_|_0.0:0.0_0.0:0.0,
note,622.253967,Eb5+0.0,Eb5+0.0,6\12 -0.0%, T -23 | 456 Eb,108594_0_0_|_0.0:0.0_0.0:0.0,
note,739.988845,F#5+0.0,F#5+0.0,9\12 -0.0%, T 123 | --6 Eb,98358_0_0_|_0.0:0.0_0.0:0.0,
note,879.999999,A5+0.0,A5+0.0,0\12 -0.0%, T 12- | --- Eb,65558_0_0_|_0.0:0.0_0.0:0.0,
note,1046.50226,C6+0.0,C6+0.0,3\12 -0.0%, 1-- | --- Eb,65540_0_0_|_0.0:0.0_0.0:0.0,
note,1244.507934,Eb6+0.0,Eb6+0.0,6\12 -0.0%, T 123 G# | 456 Eb,108662_0_0_|_0.0:0.0_0.0:0.0,
note,1479.977689,F#6+0.0,F#6+0.0,9\12 -0.0%, T 1-3 | --6 Eb,98342_0_0_|_0.0:0.0_0.0:0.0,
note,1759.999998,A6+0.0,A6+0.0,0\12 -0.0%, T -2- | 4-- Eb,67602_0_0_|_0.0:0.0_0.0:0.0,
