trumpet-in-bb-g#harmin-scale-2octs.csv
Instrument: Trumpet in Bb
Transposition: -200 cents
Tonic: 440.0 Hz
Temperament: 12-TET
Description: In $scales$ collections` all pitches are shown as in tune relative to 12-TET` even though this might not always be the case. Also` there might be some errors
Type,Frequency (Hz),Transposed pitch,Concert pitch,TET step,Fingering,Fingering ID,Description
note,184.997211,Ab3+0.0,F#3+0.0,9\12 -0.0%, -23 {0.0} {0.0} (2),6_0_0_2_0.0:0.0_0.0:0.0,
note,207.652349,Bb3+0.0,Ab3+0.0,11\12 0.0%, 1-- {0.0} {0.0} (2),1_0_0_2_0.0:0.0_0.0:0.0,
note,220.0,B3+0.0,A3+0.0,0\12 0.0%, -2- {0.0} {0.0} (2),2_0_0_2_0.0:0.0_0.0:0.0,
note,246.941651,C#4+0.0,B3+0.0,2\12 0.0%, 123 {0.5} {0.0} (3),7_0_0_3_0.5:0.0_0.0:0.0,
note,277.182632,Eb4+0.0,C#4+0.0,4\12 0.0%, -23 {0.0} {0.0} (3),6_0_0_3_0.0:0.0_0.0:0.0,
note,293.664769,E4+0.0,D4+0.0,5\12 0.0%, 12- {0.0} {0.0} (3),3_0_0_3_0.0:0.0_0.0:0.0,
note,349.228232,G4+0.0,F4+0.0,8\12 0.0%, --- {0.0} {0.0} (3),0_0_0_3_0.0:0.0_0.0:0.0,
note,369.994424,Ab4+0.0,F#4+0.0,9\12 0.0%, -23 {0.0} {0.0} (4),6_0_0_4_0.0:0.0_0.0:0.0,
note,415.304699,Bb4+0.0,Ab4+0.0,11\12 0.0%, 1-- {0.0} {0.0} (4),1_0_0_4_0.0:0.0_0.0:0.0,
note,440.000001,B4+0.0,A4+0.0,0\12 0.0%, -2- {0.0} {0.0} (4),2_0_0_4_0.0:0.0_0.0:0.0,
note,493.883303,C#5+0.0,B4+0.0,2\12 0.0%, 12- {0.0} {0.0} (5),3_0_0_5_0.0:0.0_0.0:0.0,
note,554.365264,Eb5+0.0,C#5+0.0,4\12 0.0%, -2- {0.0} {0.0} (5),2_0_0_5_0.0:0.0_0.0:0.0,
note,587.329538,E5+0.0,D5+0.0,5\12 0.0%, --- {0.0} {0.0} (5),0_0_0_5_0.0:0.0_0.0:0.0,
note,698.456466,G5+0.0,F5+0.0,8\12 0.0%, --- {0.0} {0.0} (6),0_0_0_6_0.0:0.0_0.0:0.0,
note,739.988848,Ab5+0.0,F#5+0.0,9\12 0.0%, -23 {0.0} {0.0} (8),6_0_0_8_0.0:0.0_0.0:0.0,
