trumpet-in-bb-ddmaj-scale-2octs.csv
Instrument: Trumpet in Bb
Transposition: -200 cents
Tonic: 440.0 Hz
Temperament: 12-TET
Description: In $scales$ collections` all pitches are shown as in tune relative to 12-TET` even though this might not always be the case. Also` there might be some errors
Type,Frequency (Hz),Transposed pitch,Concert pitch,TET step,Fingering,Fingering ID,Description
note,246.941652,C#4+0.0,B3+0.0,2\12 0.0%, 123 {0.5} {0.0} (3),7_0_0_3_0.5:0.0_0.0:0.0,
note,277.182633,Eb4+0.0,C#4+0.0,4\12 0.0%, -23 {0.0} {0.0} (3),6_0_0_3_0.0:0.0_0.0:0.0,
note,311.126986,F4+0.0,Eb4+0.0,6\12 0.0%, 1-- {0.0} {0.0} (3),1_0_0_3_0.0:0.0_0.0:0.0,
note,329.627559,F#4+0.0,E4+0.0,7\12 0.0%, -2- {0.0} {0.0} (3),2_0_0_3_0.0:0.0_0.0:0.0,
note,369.994426,Ab4+0.0,F#4+0.0,9\12 0.0%, -23 {0.0} {0.0} (4),6_0_0_4_0.0:0.0_0.0:0.0,
note,415.3047,Bb4+0.0,Ab4+0.0,11\12 0.0%, 1-- {0.0} {0.0} (4),1_0_0_4_0.0:0.0_0.0:0.0,
note,466.163765,C5+0.0,Bb4+0.0,1\12 0.0%, --- {0.0} {0.0} (4),0_0_0_4_0.0:0.0_0.0:0.0,
note,493.883304,C#5+0.0,B4+0.0,2\12 0.0%, 12- {0.0} {0.0} (5),3_0_0_5_0.0:0.0_0.0:0.0,
note,554.365266,Eb5+0.0,C#5+0.0,4\12 0.0%, -2- {0.0} {0.0} (5),2_0_0_5_0.0:0.0_0.0:0.0,
note,622.253972,F5+0.0,Eb5+0.0,6\12 0.0%, 1-- {0.0} {0.0} (6),1_0_0_6_0.0:0.0_0.0:0.0,
note,659.255119,F#5+0.0,E5+0.0,7\12 0.0%, -2- {0.0} {0.0} (6),2_0_0_6_0.0:0.0_0.0:0.0,
note,739.988851,Ab5+0.0,F#5+0.0,9\12 0.0%, -23 {0.0} {0.0} (8),6_0_0_8_0.0:0.0_0.0:0.0,
note,830.609401,Bb5+0.0,Ab5+0.0,11\12 0.0%, 1-- {0.0} {0.0} (8),1_0_0_8_0.0:0.0_0.0:0.0,
note,932.32753,C6+0.0,Bb5+0.0,1\12 0.0%, --- {0.0} {0.0} (8),0_0_0_8_0.0:0.0_0.0:0.0,
note,987.766609,C#6+0.0,B5+0.0,2\12 0.0%, -2- {0.0} {0.0} (9),2_0_0_9_0.0:0.0_0.0:0.0,
