trumpet-in-bb-ebmaj-scale-2octs.csv
Instrument: Trumpet in Bb
Transposition: -200 cents
Tonic: 440.0 Hz
Temperament: 12-TET
Description: In $scales$ collections` all pitches are shown as in tune relative to 12-TET` even though this might not always be the case. Also` there might be some errors
Type,Frequency (Hz),Transposed pitch,Concert pitch,TET step,Fingering,Fingering ID,Description
note,277.182632,Eb4+0.0,C#4+0.0,4\12 0.0%, -23 {0.0} {0.0} (3),6_0_0_3_0.0:0.0_0.0:0.0,
note,311.126985,F4+0.0,Eb4+0.0,6\12 0.0%, 1-- {0.0} {0.0} (3),1_0_0_3_0.0:0.0_0.0:0.0,
note,349.228233,G4+0.0,F4+0.0,8\12 0.0%, --- {0.0} {0.0} (3),0_0_0_3_0.0:0.0_0.0:0.0,
note,369.994424,Ab4+0.0,F#4+0.0,9\12 0.0%, -23 {0.0} {0.0} (4),6_0_0_4_0.0:0.0_0.0:0.0,
note,415.304699,Bb4+0.0,Ab4+0.0,11\12 0.0%, 1-- {0.0} {0.0} (4),1_0_0_4_0.0:0.0_0.0:0.0,
note,466.163763,C5+0.0,Bb4+0.0,1\12 0.0%, --- {0.0} {0.0} (4),0_0_0_4_0.0:0.0_0.0:0.0,
note,523.251133,D5+0.0,C5+0.0,3\12 0.0%, 1-- {0.0} {0.0} (5),1_0_0_5_0.0:0.0_0.0:0.0,
note,554.365264,Eb5+0.0,C#5+0.0,4\12 0.0%, -2- {0.0} {0.0} (5),2_0_0_5_0.0:0.0_0.0:0.0,
note,622.253969,F5+0.0,Eb5+0.0,6\12 0.0%, 1-- {0.0} {0.0} (6),1_0_0_6_0.0:0.0_0.0:0.0,
note,698.456465,G5+0.0,F5+0.0,8\12 0.0%, --- {0.0} {0.0} (6),0_0_0_6_0.0:0.0_0.0:0.0,
note,739.988848,Ab5+0.0,F#5+0.0,9\12 0.0%, -23 {0.0} {0.0} (8),6_0_0_8_0.0:0.0_0.0:0.0,
note,830.609398,Bb5+0.0,Ab5+0.0,11\12 0.0%, 1-- {0.0} {0.0} (8),1_0_0_8_0.0:0.0_0.0:0.0,
note,932.327527,C6+0.0,Bb5+0.0,1\12 0.0%, --- {0.0} {0.0} (8),0_0_0_8_0.0:0.0_0.0:0.0,
note,1046.502266,D6+0.0,C6+0.0,3\12 0.0%, --- {0.0} {0.0} (9),0_0_0_9_0.0:0.0_0.0:0.0,
note,1108.730529,Eb6+0.0,C#6+0.0,4\12 0.0%, -2- {0.0} {0.0} (10),2_0_0_10_0.0:0.0_0.0:0.0,
