trumpet-in-bb-emaj-scale-2octs.csv
Instrument: Trumpet in Bb
Transposition: -200 cents
Tonic: 440.0 Hz
Temperament: 12-TET
Description: In $scales$ collections` all pitches are shown as in tune relative to 12-TET` even though this might not always be the case. Also` there might be some errors
Type,Frequency (Hz),Transposed pitch,Concert pitch,TET step,Fingering,Fingering ID,Description
note,293.66477,E4+0.0,D4+0.0,5\12 0.0%, 12- {0.0} {0.0} (3),3_0_0_3_0.0:0.0_0.0:0.0,
note,329.627559,F#4+0.0,E4+0.0,7\12 0.0%, -2- {0.0} {0.0} (3),2_0_0_3_0.0:0.0_0.0:0.0,
note,369.994426,Ab4+0.0,F#4+0.0,9\12 0.0%, -23 {0.0} {0.0} (4),6_0_0_4_0.0:0.0_0.0:0.0,
note,391.995438,A4+0.0,G4+0.0,10\12 0.0%, 12- {0.0} {0.0} (4),3_0_0_4_0.0:0.0_0.0:0.0,
note,440.000003,B4+0.0,A4+0.0,0\12 0.0%, -2- {0.0} {0.0} (4),2_0_0_4_0.0:0.0_0.0:0.0,
note,493.883304,C#5+0.0,B4+0.0,2\12 0.0%, 12- {0.0} {0.0} (5),3_0_0_5_0.0:0.0_0.0:0.0,
note,554.365266,Eb5+0.0,C#5+0.0,4\12 0.0%, -2- {0.0} {0.0} (5),2_0_0_5_0.0:0.0_0.0:0.0,
note,587.32954,E5+0.0,D5+0.0,5\12 0.0%, --- {0.0} {0.0} (5),0_0_0_5_0.0:0.0_0.0:0.0,
note,659.255119,F#5+0.0,E5+0.0,7\12 0.0%, -2- {0.0} {0.0} (6),2_0_0_6_0.0:0.0_0.0:0.0,
note,739.988851,Ab5+0.0,F#5+0.0,9\12 0.0%, -23 {0.0} {0.0} (8),6_0_0_8_0.0:0.0_0.0:0.0,
note,783.990877,A5+0.0,G5+0.0,10\12 0.0%, 12- {0.0} {0.0} (8),3_0_0_8_0.0:0.0_0.0:0.0,
note,880.000007,B5+0.0,A5+0.0,0\12 0.0%, -2- {0.0} {0.0} (8),2_0_0_8_0.0:0.0_0.0:0.0,
note,987.766609,C#6+0.0,B5+0.0,2\12 0.0%, -2- {0.0} {0.0} (9),2_0_0_9_0.0:0.0_0.0:0.0,
note,1108.730531,Eb6+0.0,C#6+0.0,4\12 0.0%, -2- {0.0} {0.0} (10),2_0_0_10_0.0:0.0_0.0:0.0,
note,1174.659079,E6+0.0,D6+0.0,5\12 0.0%, --- {0.0} {0.0} (10),0_0_0_10_0.0:0.0_0.0:0.0,
