trumpet-in-bb-cmelmin-scale-2octs.csv
Instrument: Trumpet in Bb
Transposition: -200 cents
Tonic: 440.0 Hz
Temperament: 12-TET
Description: In $scales$ collections` all pitches are shown as in tune relative to 12-TET` even though this might not always be the case. Also` there might be some errors
Type,Frequency (Hz),Transposed pitch,Concert pitch,TET step,Fingering,Fingering ID,Description
note,233.081882,C4+0.0,Bb3+0.0,1\12 0.0%, --- {0.0} {0.0} (2),0_0_0_2_0.0:0.0_0.0:0.0,
note,261.625566,D4+0.0,C4+0.0,3\12 0.0%, 1-3 {0.25} {0.0} (3),5_0_0_3_0.25:0.0_0.0:0.0,
note,277.182632,Eb4+0.0,C#4+0.0,4\12 0.0%, -23 {0.0} {0.0} (3),6_0_0_3_0.0:0.0_0.0:0.0,
note,311.126985,F4+0.0,Eb4+0.0,6\12 0.0%, 1-- {0.0} {0.0} (3),1_0_0_3_0.0:0.0_0.0:0.0,
note,349.228233,G4+0.0,F4+0.0,8\12 0.0%, --- {0.0} {0.0} (3),0_0_0_3_0.0:0.0_0.0:0.0,
note,391.995437,A4+0.0,G4+0.0,10\12 0.0%, 12- {0.0} {0.0} (4),3_0_0_4_0.0:0.0_0.0:0.0,
note,440.000002,B4+0.0,A4+0.0,0\12 0.0%, -2- {0.0} {0.0} (4),2_0_0_4_0.0:0.0_0.0:0.0,
note,466.163763,C5+0.0,Bb4+0.0,1\12 0.0%, --- {0.0} {0.0} (4),0_0_0_4_0.0:0.0_0.0:0.0,
note,523.251133,D5+0.0,C5+0.0,3\12 0.0%, 1-- {0.0} {0.0} (5),1_0_0_5_0.0:0.0_0.0:0.0,
note,554.365264,Eb5+0.0,C#5+0.0,4\12 0.0%, -2- {0.0} {0.0} (5),2_0_0_5_0.0:0.0_0.0:0.0,
note,622.253969,F5+0.0,Eb5+0.0,6\12 0.0%, 1-- {0.0} {0.0} (6),1_0_0_6_0.0:0.0_0.0:0.0,
note,698.456465,G5+0.0,F5+0.0,8\12 0.0%, --- {0.0} {0.0} (6),0_0_0_6_0.0:0.0_0.0:0.0,
note,783.990875,A5+0.0,G5+0.0,10\12 0.0%, 12- {0.0} {0.0} (8),3_0_0_8_0.0:0.0_0.0:0.0,
note,880.000003,B5+0.0,A5+0.0,0\12 0.0%, -2- {0.0} {0.0} (8),2_0_0_8_0.0:0.0_0.0:0.0,
note,932.327527,C6+0.0,Bb5+0.0,1\12 0.0%, --- {0.0} {0.0} (8),0_0_0_8_0.0:0.0_0.0:0.0,
