trumpet-in-bb-f#melmin-scale-2octs.csv
Instrument: Trumpet in Bb
Transposition: -200 cents
Tonic: 440.0 Hz
Temperament: 12-TET
Description: In $scales$ collections` all pitches are shown as in tune relative to 12-TET` even though this might not always be the case. Also` there might be some errors
Type,Frequency (Hz),Transposed pitch,Concert pitch,TET step,Fingering,Fingering ID,Description
note,164.813779,F#3+0.0,E3+0.0,7\12 0.0%, 123 {0.0} {0.0} (2),7_0_0_2_0.0:0.0_0.0:0.0,
note,184.997212,Ab3+0.0,F#3+0.0,9\12 0.0%, -23 {0.0} {0.0} (2),6_0_0_2_0.0:0.0_0.0:0.0,
note,195.997719,A3+0.0,G3+0.0,10\12 0.0%, 12- {0.0} {0.0} (2),3_0_0_2_0.0:0.0_0.0:0.0,
note,220.000001,B3+0.0,A3+0.0,0\12 0.0%, -2- {0.0} {0.0} (2),2_0_0_2_0.0:0.0_0.0:0.0,
note,246.941652,C#4+0.0,B3+0.0,2\12 0.0%, 123 {0.5} {0.0} (3),7_0_0_3_0.5:0.0_0.0:0.0,
note,277.182632,Eb4+0.0,C#4+0.0,4\12 0.0%, -23 {0.0} {0.0} (3),6_0_0_3_0.0:0.0_0.0:0.0,
note,311.126985,F4+0.0,Eb4+0.0,6\12 0.0%, 1-- {0.0} {0.0} (3),1_0_0_3_0.0:0.0_0.0:0.0,
note,329.627558,F#4+0.0,E4+0.0,7\12 0.0%, -2- {0.0} {0.0} (3),2_0_0_3_0.0:0.0_0.0:0.0,
note,369.994424,Ab4+0.0,F#4+0.0,9\12 0.0%, -23 {0.0} {0.0} (4),6_0_0_4_0.0:0.0_0.0:0.0,
note,391.995437,A4+0.0,G4+0.0,10\12 0.0%, 12- {0.0} {0.0} (4),3_0_0_4_0.0:0.0_0.0:0.0,
note,440.000002,B4+0.0,A4+0.0,0\12 0.0%, -2- {0.0} {0.0} (4),2_0_0_4_0.0:0.0_0.0:0.0,
note,493.883303,C#5+0.0,B4+0.0,2\12 0.0%, 12- {0.0} {0.0} (5),3_0_0_5_0.0:0.0_0.0:0.0,
note,554.365264,Eb5+0.0,C#5+0.0,4\12 0.0%, -2- {0.0} {0.0} (5),2_0_0_5_0.0:0.0_0.0:0.0,
note,622.25397,F5+0.0,Eb5+0.0,6\12 0.0%, 1-- {0.0} {0.0} (6),1_0_0_6_0.0:0.0_0.0:0.0,
note,659.255116,F#5+0.0,E5+0.0,7\12 0.0%, -2- {0.0} {0.0} (6),2_0_0_6_0.0:0.0_0.0:0.0,
