trumpet-in-bb-emin-scale-2octs.csv
Instrument: Trumpet in Bb
Transposition: -200 cents
Tonic: 440.0 Hz
Temperament: 12-TET
Description: In $scales$ collections` all pitches are shown as in tune relative to 12-TET` even though this might not always be the case. Also` there might be some errors
Type,Frequency (Hz),Transposed pitch,Concert pitch,TET step,Fingering,Fingering ID,Description
note,293.66477,E4+0.0,D4+0.0,5\12 0.0%, 12- {0.0} {0.0} (3),3_0_0_3_0.0:0.0_0.0:0.0,
note,329.627559,F#4+0.0,E4+0.0,7\12 0.0%, -2- {0.0} {0.0} (3),2_0_0_3_0.0:0.0_0.0:0.0,
note,349.228235,G4+0.0,F4+0.0,8\12 0.0%, --- {0.0} {0.0} (3),0_0_0_3_0.0:0.0_0.0:0.0,
note,391.995438,A4+0.0,G4+0.0,10\12 0.0%, 12- {0.0} {0.0} (4),3_0_0_4_0.0:0.0_0.0:0.0,
note,440.000003,B4+0.0,A4+0.0,0\12 0.0%, -2- {0.0} {0.0} (4),2_0_0_4_0.0:0.0_0.0:0.0,
note,466.163764,C5+0.0,Bb4+0.0,1\12 0.0%, --- {0.0} {0.0} (4),0_0_0_4_0.0:0.0_0.0:0.0,
note,523.251134,D5+0.0,C5+0.0,3\12 0.0%, 1-- {0.0} {0.0} (5),1_0_0_5_0.0:0.0_0.0:0.0,
note,587.32954,E5+0.0,D5+0.0,5\12 0.0%, --- {0.0} {0.0} (5),0_0_0_5_0.0:0.0_0.0:0.0,
note,659.255119,F#5+0.0,E5+0.0,7\12 0.0%, -2- {0.0} {0.0} (6),2_0_0_6_0.0:0.0_0.0:0.0,
note,698.456468,G5+0.0,F5+0.0,8\12 0.0%, --- {0.0} {0.0} (6),0_0_0_6_0.0:0.0_0.0:0.0,
note,783.990877,A5+0.0,G5+0.0,10\12 0.0%, 12- {0.0} {0.0} (8),3_0_0_8_0.0:0.0_0.0:0.0,
note,880.000007,B5+0.0,A5+0.0,0\12 0.0%, -2- {0.0} {0.0} (8),2_0_0_8_0.0:0.0_0.0:0.0,
note,932.327529,C6+0.0,Bb5+0.0,1\12 0.0%, --- {0.0} {0.0} (8),0_0_0_8_0.0:0.0_0.0:0.0,
note,1046.502268,D6+0.0,C6+0.0,3\12 0.0%, --- {0.0} {0.0} (9),0_0_0_9_0.0:0.0_0.0:0.0,
note,1174.659079,E6+0.0,D6+0.0,5\12 0.0%, --- {0.0} {0.0} (10),0_0_0_10_0.0:0.0_0.0:0.0,
