trumpet-in-bb-fmin-scale-2octs.csv
Instrument: Trumpet in Bb
Transposition: -200 cents
Tonic: 440.0 Hz
Temperament: 12-TET
Description: In $scales$ collections` all pitches are shown as in tune relative to 12-TET` even though this might not always be the case. Also` there might be some errors
Type,Frequency (Hz),Transposed pitch,Concert pitch,TET step,Fingering,Fingering ID,Description
note,155.563492,F3+0.0,Eb3+0.0,6\12 0.0%, 123 {0.5} {0.5} (2),7_0_0_2_0.5:0.0_0.5:0.0,
note,174.614116,G3+0.0,F3+0.0,8\12 0.0%, 1-3 {0.0} {0.0} (2),5_0_0_2_0.0:0.0_0.0:0.0,
note,184.997211,Ab3+0.0,F#3+0.0,9\12 -0.0%, -23 {0.0} {0.0} (2),6_0_0_2_0.0:0.0_0.0:0.0,
note,207.652349,Bb3+0.0,Ab3+0.0,11\12 0.0%, 1-- {0.0} {0.0} (2),1_0_0_2_0.0:0.0_0.0:0.0,
note,233.081881,C4+0.0,Bb3+0.0,1\12 0.0%, --- {0.0} {0.0} (2),0_0_0_2_0.0:0.0_0.0:0.0,
note,246.941651,C#4+0.0,B3+0.0,2\12 0.0%, 123 {0.5} {0.0} (3),7_0_0_3_0.5:0.0_0.0:0.0,
note,277.182632,Eb4+0.0,C#4+0.0,4\12 0.0%, -23 {0.0} {0.0} (3),6_0_0_3_0.0:0.0_0.0:0.0,
note,311.126985,F4+0.0,Eb4+0.0,6\12 0.0%, 1-- {0.0} {0.0} (3),1_0_0_3_0.0:0.0_0.0:0.0,
note,349.228232,G4+0.0,F4+0.0,8\12 0.0%, --- {0.0} {0.0} (3),0_0_0_3_0.0:0.0_0.0:0.0,
note,369.994424,Ab4+0.0,F#4+0.0,9\12 0.0%, -23 {0.0} {0.0} (4),6_0_0_4_0.0:0.0_0.0:0.0,
note,415.304699,Bb4+0.0,Ab4+0.0,11\12 0.0%, 1-- {0.0} {0.0} (4),1_0_0_4_0.0:0.0_0.0:0.0,
note,466.163763,C5+0.0,Bb4+0.0,1\12 0.0%, --- {0.0} {0.0} (4),0_0_0_4_0.0:0.0_0.0:0.0,
note,493.883303,C#5+0.0,B4+0.0,2\12 0.0%, 12- {0.0} {0.0} (5),3_0_0_5_0.0:0.0_0.0:0.0,
note,554.365264,Eb5+0.0,C#5+0.0,4\12 0.0%, -2- {0.0} {0.0} (5),2_0_0_5_0.0:0.0_0.0:0.0,
note,622.25397,F5+0.0,Eb5+0.0,6\12 0.0%, 1-- {0.0} {0.0} (6),1_0_0_6_0.0:0.0_0.0:0.0,
