alto-saxophone-standard.csv
Instrument: Alto Saxophone
Transposition: -900 cents
Tonic: 440.0 Hz
Temperament: 12-TET
Description: In $standard$ collections` all pitches are shown as in tune relative to 12-TET` even though this might not always be the case. Also` there might be some errors
Type,Frequency (Hz),Transposed pitch,Concert pitch,TET step,Fingering,Fingering ID,Description
note,138.591315,Bb3+0.0,C#3+0.0,4\12 -0.0%, 123 Bb || 456 C,705742400_0_0_|_0.0:0.0_0.0:0.0,
note,146.832383,B3+0.0,D3+0.0,5\12 -0.0%, 123 B || 456 C,705734208_0_0_|_0.0:0.0_0.0:0.0,
note,155.563491,C4+0.0,Eb3+0.0,6\12 -0.0%, 123 | 456 C,705693248_0_0_|_0.0:0.0_0.0:0.0,
note,164.813778,C#4+0.0,E3+0.0,7\12 -0.0%, 123 C# || 456 C,705730112_0_0_|_0.0:0.0_0.0:0.0,
note,174.614115,D4+0.0,F3+0.0,8\12 -0.0%, 123 | 456,168822336_0_0_|_0.0:0.0_0.0:0.0,
note,184.997211,Eb4+0.0,F#3+0.0,9\12 -0.0%, 123 | 456 Eb,437257792_0_0_|_0.0:0.0_0.0:0.0,
note,195.997717,E4+0.0,G3+0.0,10\12 -0.0%, 123 | 45-,34604608_0_0_|_0.0:0.0_0.0:0.0,
note,207.652348,F4+0.0,Ab3+0.0,11\12 -0.0%, 123 | 4--,1050176_0_0_|_0.0:0.0_0.0:0.0,
note,219.999999,F#4+0.0,A3+0.0,0\12 -0.0%, 123 | -5-,33556032_0_0_|_0.0:0.0_0.0:0.0,
note,219.999999,F#4+0.0,A3+0.0,0\12 -0.0%, 123 | 4-F#-,68159040_0_0_|_0.0:0.0_0.0:0.0,
note,233.08188,G4+0.0,Bb3+0.0,1\12 -0.0%, 123 | ---,1600_0_0_|_0.0:0.0_0.0:0.0,
note,246.94165,Ab4+0.0,B3+0.0,2\12 -0.0%, 123 G# | ---,3648_0_0_|_0.0:0.0_0.0:0.0,
note,246.94165,Ab4+0.0,B3+0.0,2\12 -0.0%, 123 C# | ---,5696_0_0_|_0.0:0.0_0.0:0.0,
note,246.94165,Ab4+0.0,B3+0.0,2\12 -0.0%, 123 B | ---,9792_0_0_|_0.0:0.0_0.0:0.0,
note,246.94165,Ab4+0.0,B3+0.0,2\12 -0.0%, 123 Bb | ---,17984_0_0_|_0.0:0.0_0.0:0.0,
note,261.625565,A4+0.0,C4+0.0,3\12 -0.0%, 12- | ---,576_0_0_|_0.0:0.0_0.0:0.0,
note,277.18263,Bb4+0.0,C#4+0.0,4\12 -0.0%, 1Bb-- | ---,192_0_0_|_0.0:0.0_0.0:0.0,
note,277.18263,Bb4+0.0,C#4+0.0,4\12 -0.0%, 12- | Bb ---,262720_0_0_|_0.0:0.0_0.0:0.0,
note,277.18263,Bb4+0.0,C#4+0.0,4\12 -0.0%, 1-- || 4--,1081408_0_0_|_0.0:0.0_0.0:0.0,
note,293.664767,B4+0.0,D4+0.0,5\12 -0.0%, 1-- | ---,64_0_0_|_0.0:0.0_0.0:0.0,
note,311.126983,C5+0.0,Eb4+0.0,6\12 -0.0%, -2- | ---,512_0_0_|_0.0:0.0_0.0:0.0,
note,311.126983,C5+0.0,Eb4+0.0,6\12 -0.0%, 1-- | C ---,131136_0_0_|_0.0:0.0_0.0:0.0,
note,329.627556,C#5+0.0,E4+0.0,7\12 -0.0%, --- | ---,0_0_0_|_0.0:0.0_0.0:0.0,
note,349.22823,D5+0.0,F4+0.0,8\12 -0.0%, d --- | ---,8_0_0_|_0.0:0.0_0.0:0.0,
note,349.22823,D5+0.0,F4+0.0,8\12 -0.0%, eb -2- | ---,516_0_0_|_0.0:0.0_0.0:0.0,
note,349.22823,D5+0.0,F4+0.0,8\12 -0.0%, o 123 | 456,168822337_0_0_|_0.0:0.0_0.0:0.0,
