alto-saxophone-trill.csv
Instrument: Alto Saxophone
Transposition: -900 cents
Tonic: 440.0 Hz
Temperament: 12-TET
Description: In $trill$ collections` all pitches are shown as in tune relative to 12-TET` even though this might not always be the case. Also` there might be some errors
Type,Frequency (Hz),Transposed pitch,Concert pitch,TET step,Fingering,Fingering ID,Description
trill,138.591315 146.832384,Bb3+0.0 B3+0.0,C#3+0.0 D3+0.0,4\12 -0.0% 5\12 0.0%, 123 B || 4[Bb*]56 C,705734208_0_8388608_|_0.0:0.0_0.0:0.0,RH thumb on 4` index trills Bb*
trill,138.591315 155.563491,Bb3+0.0 C4+0.0,C#3+0.0 Eb3+0.0,4\12 -0.0% 6\12 -0.0%, 123[Bb] || 456 C,705726016_0_16384_|_0.0:0.0_0.0:0.0,
trill,146.832383 155.563491,B3+0.0 C4+0.0,D3+0.0 Eb3+0.0,5\12 -0.0% 6\12 -0.0%, 123[B] || 456 C,705726016_0_8192_|_0.0:0.0_0.0:0.0,
trill,146.832383 164.813778,B3+0.0 C#4+0.0,D3+0.0 E3+0.0,5\12 -0.0% 7\12 -0.0%, 123 C# || 4[B*]56 C,705730112_0_16777216_|_0.0:0.0_0.0:0.0,RH thumb on 4` index trills B*
trill,155.563491 164.813778,C4+0.0 C#4+0.0,Eb3+0.0 E3+0.0,6\12 -0.0% 7\12 -0.0%, 123[C#] || 456 C,705726016_0_4096_|_0.0:0.0_0.0:0.0,
trill,155.563491 174.614115,C4+0.0 D4+0.0,Eb3+0.0 F3+0.0,6\12 -0.0% 8\12 -0.0%, 123 | 456[C],168822336_0_536870912_|_0.0:0.0_0.0:0.0,
trill,164.813778 174.614115,C#4+0.0 D4+0.0,E3+0.0 F3+0.0,7\12 -0.0% 8\12 -0.0%, 123 C# || 456[C],168859200_0_536870912_|_0.0:0.0_0.0:0.0,
trill,164.813778 184.997211,C#4+0.0 Eb4+0.0,E3+0.0 F#3+0.0,7\12 -0.0% 9\12 -0.0%, 123 C# || 456[Eb][C],168859200_0_805306368_|_0.0:0.0_0.0:0.0,RH thumb on 4` index on 5` middle on 6` ring and pinky alternate Eb and C
trill,174.614115 184.997211,D4+0.0 Eb4+0.0,F3+0.0 F#3+0.0,8\12 -0.0% 9\12 -0.0%, 123 | 456[Eb],168822336_0_268435456_|_0.0:0.0_0.0:0.0,
trill,174.614115 195.997718,D4+0.0 E4+0.0,F3+0.0 G3+0.0,8\12 -0.0% 10\12 0.0%, 123 | 45[6],34604608_0_134217728_|_0.0:0.0_0.0:0.0,
trill,184.997211 195.997718,Eb4+0.0 E4+0.0,F#3+0.0 G3+0.0,9\12 -0.0% 10\12 0.0%, 123 | 45[6] Eb,303040064_0_134217728_|_0.0:0.0_0.0:0.0,
trill,184.997211 207.652348,Eb4+0.0 F4+0.0,F#3+0.0 Ab3+0.0,9\12 -0.0% 11\12 -0.0%, 123 | 4[5][6] Eb,269485632_0_167772160_|_0.0:0.0_0.0:0.0,
trill,195.997717 207.652348,E4+0.0 F4+0.0,G3+0.0 Ab3+0.0,10\12 -0.0% 11\12 -0.0%, 123 | 4[5]-,1050176_0_33554432_|_0.0:0.0_0.0:0.0,
trill,195.997717 220.0,E4+0.0 F#4+0.0,G3+0.0 A3+0.0,10\12 -0.0% 0\12 0.0%, 123 | [4]5-,33556032_0_1048576_|_0.0:0.0_0.0:0.0,
trill,207.652348 220.0,F4+0.0 F#4+0.0,Ab3+0.0 A3+0.0,11\12 -0.0% 0\12 0.0%, 123 | 4-[F#]-,1050176_0_67108864_|_0.0:0.0_0.0:0.0,
trill,207.652348 233.081881,F4+0.0 G4+0.0,Ab3+0.0 Bb3+0.0,11\12 -0.0% 1\12 0.0%, 123 | [4]--,1600_0_1048576_|_0.0:0.0_0.0:0.0,
trill,219.999999 233.08188,F#4+0.0 G4+0.0,A3+0.0 Bb3+0.0,0\12 -0.0% 1\12 -0.0%, 123 | -[5]-,1600_0_33554432_|_0.0:0.0_0.0:0.0,
trill,219.999999 233.08188,F#4+0.0 G4+0.0,A3+0.0 Bb3+0.0,0\12 -0.0% 1\12 -0.0%, 123 | [4]-F#-,67110464_0_1048576_|_0.0:0.0_0.0:0.0,
trill,219.999999 246.94165,F#4+0.0 Ab4+0.0,A3+0.0 B3+0.0,0\12 -0.0% 2\12 -0.0%, 123 G# || -[5]-,36416_0_33554432_|_0.0:0.0_0.0:0.0,
trill,233.08188 246.94165,G4+0.0 Ab4+0.0,Bb3+0.0 B3+0.0,1\12 -0.0% 2\12 -0.0%, 123[G#] | ---,1600_0_2048_|_0.0:0.0_0.0:0.0,
trill,233.08188 261.625564,G4+0.0 A4+0.0,Bb3+0.0 C4+0.0,1\12 -0.0% 3\12 -0.0%, 12[3] G# | ---,2624_0_1024_|_0.0:0.0_0.0:0.0,
trill,246.94165 261.625564,Ab4+0.0 A4+0.0,B3+0.0 C4+0.0,2\12 -0.0% 3\12 -0.0%, 12[3] G# | ---,2624_0_1024_|_0.0:0.0_0.0:0.0,
trill,246.94165 277.18263,Ab4+0.0 Bb4+0.0,B3+0.0 C#4+0.0,2\12 -0.0% 4\12 -0.0%, 1Bb[2][3] G# | ---,2240_0_1536_|_0.0:0.0_0.0:0.0,
trill,261.625565 277.18263,A4+0.0 Bb4+0.0,C4+0.0 C#4+0.0,3\12 -0.0% 4\12 -0.0%, 1Bb[2]- | ---,192_0_512_|_0.0:0.0_0.0:0.0,
