baritone-saxophone-standard.csv
Instrument: Baritone Saxophone
Transposition: -2100 cents
Tonic: 440.0 Hz
Temperament: 12-TET
Description: In $standard$ collections` all pitches are shown as in tune relative to 12-TET` even though this might not always be the case. Also` there might be some errors
Type,Frequency (Hz),Transposed pitch,Concert pitch,TET step,Fingering,Fingering ID,Description
note,65.406391,A3+0.0,C2+0.0,3\12 -0.0%, A 123 | 456,168822338_0_0_|_0.0:0.0_0.0:0.0,
note,69.29565755,Bb3+0.0,C#2+0.0,4\12 -0.0%, 123 Bb || 456 C,705742400_0_0_|_0.0:0.0_0.0:0.0,
note,73.41619151,B3+0.0,D2+0.0,5\12 -0.0%, 123 B || 456 C,705734208_0_0_|_0.0:0.0_0.0:0.0,
note,77.78174554,C4+0.0,Eb2+0.0,6\12 -0.0%, 123 | 456 C,705693248_0_0_|_0.0:0.0_0.0:0.0,
note,82.40688902,C#4+0.0,E2+0.0,7\12 -0.0%, 123 C# || 456 C,705730112_0_0_|_0.0:0.0_0.0:0.0,
note,87.30705749,D4+0.0,F2+0.0,8\12 -0.0%, 123 | 456,168822336_0_0_|_0.0:0.0_0.0:0.0,
note,92.49860549,Eb4+0.0,F#2+0.0,9\12 -0.0%, 123 | 456 Eb,437257792_0_0_|_0.0:0.0_0.0:0.0,
note,97.99885849,E4+0.0,G2+0.0,10\12 -0.0%, 123 | 45-,34604608_0_0_|_0.0:0.0_0.0:0.0,
note,103.8261738,F4+0.0,Ab2+0.0,11\12 -0.0%, 123 || 4--,1082944_0_0_|_0.0:0.0_0.0:0.0,
note,109.9999995,F#4+0.0,A2+0.0,0\12 -0.0%, 123 | 4-F#-,68159040_0_0_|_0.0:0.0_0.0:0.0,
note,116.54094,G4+0.0,Bb2+0.0,1\12 -0.0%, 123 | ---,1600_0_0_|_0.0:0.0_0.0:0.0,
note,123.470825,Ab4+0.0,B2+0.0,2\12 -0.0%, 123 G# | ---,3648_0_0_|_0.0:0.0_0.0:0.0,
note,123.470825,Ab4+0.0,B2+0.0,2\12 -0.0%, 123 C# | ---,5696_0_0_|_0.0:0.0_0.0:0.0,
note,123.470825,Ab4+0.0,B2+0.0,2\12 -0.0%, 123 B | ---,9792_0_0_|_0.0:0.0_0.0:0.0,
note,123.470825,Ab4+0.0,B2+0.0,2\12 -0.0%, 123 Bb | ---,17984_0_0_|_0.0:0.0_0.0:0.0,
note,130.8127825,A4+0.0,C3+0.0,3\12 -0.0%, 12- | ---,576_0_0_|_0.0:0.0_0.0:0.0,
note,138.591315,Bb4+0.0,C#3+0.0,4\12 -0.0%, 1Bb-- | ---,192_0_0_|_0.0:0.0_0.0:0.0,
note,138.591315,Bb4+0.0,C#3+0.0,4\12 -0.0%, 12- | Bb ---,262720_0_0_|_0.0:0.0_0.0:0.0,
note,138.591315,Bb4+0.0,C#3+0.0,4\12 -0.0%, 1-- | 4--,1048640_0_0_|_0.0:0.0_0.0:0.0,
note,138.591315,Bb4+0.0,C#3+0.0,4\12 -0.0%, 1-- | -5-,33554496_0_0_|_0.0:0.0_0.0:0.0,
note,146.8323835,B4+0.0,D3+0.0,5\12 -0.0%, 1-- | ---,64_0_0_|_0.0:0.0_0.0:0.0,
note,155.5634915,C5+0.0,Eb3+0.0,6\12 -0.0%, -2- | ---,512_0_0_|_0.0:0.0_0.0:0.0,
note,155.5634915,C5+0.0,Eb3+0.0,6\12 -0.0%, 1-- | C ---,131136_0_0_|_0.0:0.0_0.0:0.0,
note,164.813778,C#5+0.0,E3+0.0,7\12 -0.0%, --- | ---,0_0_0_|_0.0:0.0_0.0:0.0,
note,174.614115,D5+0.0,F3+0.0,8\12 -0.0%, d --- | ---,8_0_0_|_0.0:0.0_0.0:0.0,
