tenor-saxophone-trill.csv
Instrument: Tenor Saxophone
Transposition: -1400 cents
Tonic: 440.0 Hz
Temperament: 12-TET
Description: In $trill$ collections` all pitches are shown as in tune relative to 12-TET` even though this might not always be the case. Also` there might be some errors
Type,Frequency (Hz),Transposed pitch,Concert pitch,TET step,Fingering,Fingering ID,Description
trill,103.82617403 110.00000003,Bb3+0.0 B3+0.0,Ab2+0.0 A2+0.0,11\12 -0.0% 0\12 0.0%, 123 B || 4[Bb*]56 C,705734208_0_8388608_|_0.0:0.0_0.0:0.0,RH thumb on 4` index trills Bb*
trill,103.82617403 116.54093973,Bb3+0.0 C4+0.0,Ab2+0.0 Bb2+0.0,11\12 -0.0% 1\12 -0.0%, 123[Bb] || 456 C,705726016_0_16384_|_0.0:0.0_0.0:0.0,
trill,109.99999928 116.54093973,B3+0.0 C4+0.0,A2+0.0 Bb2+0.0,0\12 -0.0% 1\12 -0.0%, 123[B] || 456 C,705726016_0_8192_|_0.0:0.0_0.0:0.0,
trill,109.99999928 123.47082497,B3+0.0 C#4+0.0,A2+0.0 B2+0.0,0\12 -0.0% 2\12 -0.0%, 123 C# || 4[B*]56 C,705730112_0_16777216_|_0.0:0.0_0.0:0.0,RH thumb on 4` index trills B*
trill,116.54093973 123.47082497,C4+0.0 C#4+0.0,Bb2+0.0 B2+0.0,1\12 -0.0% 2\12 -0.0%, 123[C#] || 456 C,705726016_0_4096_|_0.0:0.0_0.0:0.0,
trill,116.54093973 130.81278211,C4+0.0 D4+0.0,Bb2+0.0 C3+0.0,1\12 -0.0% 3\12 -0.0%, 123 | 456[C],168822336_0_536870912_|_0.0:0.0_0.0:0.0,
trill,123.47082497 130.81278211,C#4+0.0 D4+0.0,B2+0.0 C3+0.0,2\12 -0.0% 3\12 -0.0%, 123 C# || 456[C],168859200_0_536870912_|_0.0:0.0_0.0:0.0,
trill,123.47082497 138.59131522,C#4+0.0 Eb4+0.0,B2+0.0 C#3+0.0,2\12 -0.0% 4\12 -0.0%, 123 C# || 456[Eb][C],168859200_0_805306368_|_0.0:0.0_0.0:0.0,RH thumb on 4` index on 5` middle on 6` ring and pinky alternate Eb and C
trill,130.81278211 138.59131522,D4+0.0 Eb4+0.0,C3+0.0 C#3+0.0,3\12 -0.0% 4\12 -0.0%, 123 | 456[Eb],168822336_0_268435456_|_0.0:0.0_0.0:0.0,
trill,130.81278211 146.83238397,D4+0.0 E4+0.0,C3+0.0 D3+0.0,3\12 -0.0% 5\12 0.0%, 123 | 45[6],34604608_0_134217728_|_0.0:0.0_0.0:0.0,
trill,138.59131522 146.83238397,Eb4+0.0 E4+0.0,C#3+0.0 D3+0.0,4\12 -0.0% 5\12 0.0%, 123 | 45[6] Eb,303040064_0_134217728_|_0.0:0.0_0.0:0.0,
trill,138.59131522 155.56349127,Eb4+0.0 F4+0.0,C#3+0.0 Eb3+0.0,4\12 -0.0% 6\12 -0.0%, 123 | 4[5][6] Eb,269485632_0_167772160_|_0.0:0.0_0.0:0.0,
trill,146.83238322 155.56349127,E4+0.0 F4+0.0,D3+0.0 Eb3+0.0,5\12 -0.0% 6\12 -0.0%, 123 | 4[5]-,1050176_0_33554432_|_0.0:0.0_0.0:0.0,
trill,146.83238322 164.81377846,E4+0.0 F#4+0.0,D3+0.0 E3+0.0,5\12 -0.0% 7\12 0.0%, 123 | [4]5-,33556032_0_1048576_|_0.0:0.0_0.0:0.0,
trill,155.56349127 164.81377846,F4+0.0 F#4+0.0,Eb3+0.0 E3+0.0,6\12 -0.0% 7\12 0.0%, 123 | 4-[F#]-,1050176_0_67108864_|_0.0:0.0_0.0:0.0,
trill,155.56349127 174.6141159,F4+0.0 G4+0.0,Eb3+0.0 F3+0.0,6\12 -0.0% 8\12 0.0%, 123 | [4]--,1600_0_1048576_|_0.0:0.0_0.0:0.0,
trill,164.81377771 174.61411515,F#4+0.0 G4+0.0,E3+0.0 F3+0.0,7\12 -0.0% 8\12 -0.0%, 123 | -[5]-,1600_0_33554432_|_0.0:0.0_0.0:0.0,
trill,164.81377771 174.61411515,F#4+0.0 G4+0.0,E3+0.0 F3+0.0,7\12 -0.0% 8\12 -0.0%, 123 | [4]-F#-,67110464_0_1048576_|_0.0:0.0_0.0:0.0,
trill,164.81377771 184.99721089,F#4+0.0 Ab4+0.0,E3+0.0 F#3+0.0,7\12 -0.0% 9\12 -0.0%, 123 G# || -[5]-,36416_0_33554432_|_0.0:0.0_0.0:0.0,
trill,174.61411515 184.99721089,G4+0.0 Ab4+0.0,F3+0.0 F#3+0.0,8\12 -0.0% 9\12 -0.0%, 123[G#] | ---,1600_0_2048_|_0.0:0.0_0.0:0.0,
trill,174.61411515 195.99771702,G4+0.0 A4+0.0,F3+0.0 G3+0.0,8\12 -0.0% 10\12 -0.0%, 12[3] G# | ---,2624_0_1024_|_0.0:0.0_0.0:0.0,
trill,184.99721089 195.99771702,Ab4+0.0 A4+0.0,F#3+0.0 G3+0.0,9\12 -0.0% 10\12 -0.0%, 12[3] G# | ---,2624_0_1024_|_0.0:0.0_0.0:0.0,
