tenor-trombone-standard.csv,,,,,,,
Instrument: Tenor Trombone,,,,,,,
Transposition: 0 cents,,,,,,,
Tonic: 440.0 Hz,,,,,,,
Temperament: 12-TET,,,,,,,
Description: In $standard$ collections` all pitches are shown as in tune relative to 12-TET` even though this might not always be the case. Also` there might be some errors,,,,,,,
Type,Frequency (Hz),Transposed pitch,Concert pitch,TET step,Fingering,Fingering ID,Description
note,65.406391,C2+0.0,C2+0.0,3\12 -0.0%, {7.67} F (2),2_0_0_2_7.674199270850172:0.0_0.0:0.0,
note,69.295658,C#2+0.0,C#2+0.0,4\12 0.0%, {6.34} F (2),2_0_0_2_6.3393594166801375:0.0_0.0:0.0,
note,73.416192,D2+0.0,D2+0.0,5\12 0.0%, {5.0} F (2),2_0_0_2_5.004519562510103:0.0_0.0:0.0,
note,77.781746,Eb2+0.0,Eb2+0.0,6\12 0.0%, {3.67} F (2),2_0_0_2_3.6696797083400687:0.0_0.0:0.0,
note,82.406889,E2+0.0,E2+0.0,7\12 -0.0%, {2.33} F (2),2_0_0_2_2.3348398541700344:0.0_0.0:0.0,
note,82.406889,E2+0.0,E2+0.0,7\12 -0.0%, {7.0}  (2),0_0_0_2_7.0:0.0_0.0:0.0,
note,87.307058,F2+0.0,F2+0.0,8\12 0.0%, {1.0} F (2),2_0_0_2_1.0:0.0_0.0:0.0,
note,87.307058,F2+0.0,F2+0.0,8\12 0.0%, {6.0}  (2),0_0_0_2_6.0:0.0_0.0:0.0,
note,92.498606,F#2+0.0,F#2+0.0,9\12 0.0%, {5.0}  (2),0_0_0_2_5.0:0.0_0.0:0.0,
note,97.998859,G2+0.0,G2+0.0,10\12 0.0%, {4.0}  (2),0_0_0_2_4.0:0.0_0.0:0.0,
note,97.998859,G2+0.0,G2+0.0,10\12 0.0%, {7.67} F (3),2_0_0_3_7.674199270850172:0.0_0.0:0.0,
note,103.826174,Ab2+0.0,Ab2+0.0,11\12 -0.0%, {3.0}  (2),0_0_0_2_3.0:0.0_0.0:0.0,
note,103.826174,Ab2+0.0,Ab2+0.0,11\12 -0.0%, {6.34} F (3),2_0_0_3_6.3393594166801375:0.0_0.0:0.0,
note,110,A2+0.0,A2+0.0,0\12 0.0%, {2.0}  (2),0_0_0_2_2.0:0.0_0.0:0.0,
note,110,A2+0.0,A2+0.0,0\12 0.0%, {5.0} F (3),2_0_0_3_5.004519562510103:0.0_0.0:0.0,
note,116.54094,Bb2+0.0,Bb2+0.0,1\12 -0.0%, {1.0}  (2),0_0_0_2_1.0:0.0_0.0:0.0,
note,116.54094,Bb2+0.0,Bb2+0.0,1\12 -0.0%, {3.67} F (3),2_0_0_3_3.6696797083400687:0.0_0.0:0.0,
note,123.470825,B2+0.0,B2+0.0,2\12 -0.0%, {2.33} F (3),2_0_0_3_2.3348398541700344:0.0_0.0:0.0,
note,123.470825,B2+0.0,B2+0.0,2\12 -0.0%, {7.0}  (3),0_0_0_3_7.0:0.0_0.0:0.0,
note,130.812782,C3+0.0,C3+0.0,3\12 -0.0%, {1.0} F (3),2_0_0_3_1.0:0.0_0.0:0.0,
note,130.812782,C3+0.0,C3+0.0,3\12 -0.0%, {6.0}  (3),0_0_0_3_6.0:0.0_0.0:0.0,
note,130.812782,C3+0.0,C3+0.0,3\12 -0.0%, {7.67} F (4),2_0_0_4_7.674199270850172:0.0_0.0:0.0,
note,138.591315,C#3+0.0,C#3+0.0,4\12 -0.0%, {5.0}  (3),0_0_0_3_5.0:0.0_0.0:0.0,
note,138.591315,C#3+0.0,C#3+0.0,4\12 -0.0%, {6.34} F (4),2_0_0_4_6.3393594166801375:0.0_0.0:0.0,
note,146.832383,D3+0.0,D3+0.0,5\12 -0.0%, {4.0}  (3),0_0_0_3_4.0:0.0_0.0:0.0,
note,146.832383,D3+0.0,D3+0.0,5\12 -0.0%, {5.0} F (4),2_0_0_4_5.004519562510103:0.0_0.0:0.0,
note,155.563491,Eb3+0.0,Eb3+0.0,6\12 -0.0%, {3.0}  (3),0_0_0_3_3.0:0.0_0.0:0.0,
note,155.563491,Eb3+0.0,Eb3+0.0,6\12 -0.0%, {3.67} F (4),2_0_0_4_3.6696797083400687:0.0_0.0:0.0,
note,164.813778,E3+0.0,E3+0.0,7\12 -0.0%, {2.0}  (3),0_0_0_3_2.0:0.0_0.0:0.0,
note,164.813778,E3+0.0,E3+0.0,7\12 -0.0%, {2.33} F (4),2_0_0_4_2.3348398541700344:0.0_0.0:0.0,
note,164.813778,E3+0.0,E3+0.0,7\12 -0.0%, {7.0}  (4),0_0_0_4_7.0:0.0_0.0:0.0,
note,174.614115,F3+0.0,F3+0.0,8\12 -0.0%, {1.0}  (3),0_0_0_3_1.0:0.0_0.0:0.0,
note,174.614115,F3+0.0,F3+0.0,8\12 -0.0%, {1.0} F (4),2_0_0_4_1.0:0.0_0.0:0.0,
note,174.614115,F3+0.0,F3+0.0,8\12 -0.0%, {6.0}  (4),0_0_0_4_6.0:0.0_0.0:0.0,
note,184.997211,F#3+0.0,F#3+0.0,9\12 -0.0%, {5.0}  (4),0_0_0_4_5.0:0.0_0.0:0.0,
note,195.997717,G3+0.0,G3+0.0,10\12 -0.0%, {4.0}  (4),0_0_0_4_4.0:0.0_0.0:0.0,
note,207.652348,Ab3+0.0,Ab3+0.0,11\12 -0.0%, {3.0}  (4),0_0_0_4_3.0:0.0_0.0:0.0,
note,207.652348,Ab3+0.0,Ab3+0.0,11\12 -0.0%, {7.0}  (5),0_0_0_5_7.0:0.0_0.0:0.0,
note,219.999999,A3+0.0,A3+0.0,0\12 -0.0%, {2.0}  (4),0_0_0_4_2.0:0.0_0.0:0.0,
note,219.999999,A3+0.0,A3+0.0,0\12 -0.0%, {6.0}  (5),0_0_0_5_6.0:0.0_0.0:0.0,
note,233.08188,Bb3+0.0,Bb3+0.0,1\12 -0.0%, {1.0}  (4),0_0_0_4_1.0:0.0_0.0:0.0,
note,233.08188,Bb3+0.0,Bb3+0.0,1\12 -0.0%, {5.0}  (5),0_0_0_5_5.0:0.0_0.0:0.0,
note,246.94165,B3+0.0,B3+0.0,2\12 -0.0%, {4.0}  (5),0_0_0_5_4.0:0.0_0.0:0.0,
note,246.94165,B3+0.0,B3+0.0,2\12 -0.0%, {7.0}  (6),0_0_0_6_7.0:0.0_0.0:0.0,
note,261.625564,C4+0.0,C4+0.0,3\12 -0.0%, {3.0}  (5),0_0_0_5_3.0:0.0_0.0:0.0,
note,261.625564,C4+0.0,C4+0.0,3\12 -0.0%, {6.0}  (6),0_0_0_6_6.0:0.0_0.0:0.0,
note,277.18263,C#4+0.0,C#4+0.0,4\12 -0.0%, {2.0}  (5),0_0_0_5_2.0:0.0_0.0:0.0,
note,277.18263,C#4+0.0,C#4+0.0,4\12 -0.0%, {5.0}  (6),0_0_0_6_5.0:0.0_0.0:0.0,
note,293.664767,D4+0.0,D4+0.0,5\12 -0.0%, {1.0}  (5),0_0_0_5_1.0:0.0_0.0:0.0,
note,293.664767,D4+0.0,D4+0.0,5\12 -0.0%, {4.0}  (6),0_0_0_6_4.0:0.0_0.0:0.0,
note,293.664767,D4+0.0,D4+0.0,5\12 -0.0%, {6.67}  (7),0_0_0_7_6.667:0.0_0.0:0.0,
note,311.126983,Eb4+0.0,Eb4+0.0,6\12 -0.0%, {3.0}  (6),0_0_0_6_3.0:0.0_0.0:0.0,
note,311.126983,Eb4+0.0,Eb4+0.0,6\12 -0.0%, {5.67}  (7),0_0_0_7_5.667:0.0_0.0:0.0,
note,329.627556,E4+0.0,E4+0.0,7\12 -0.0%, {2.0}  (6),0_0_0_6_2.0:0.0_0.0:0.0,
note,329.627556,E4+0.0,E4+0.0,7\12 -0.0%, {4.67}  (7),0_0_0_7_4.667:0.0_0.0:0.0,
note,329.627557,E4+0.0,E4+0.0,7\12 0.0%, {7.0}  (8),0_0_0_8_7.0:0.0_0.0:0.0,
note,349.22823,F4+0.0,F4+0.0,8\12 -0.0%, {1.0}  (6),0_0_0_6_1.0:0.0_0.0:0.0,
note,349.22823,F4+0.0,F4+0.0,8\12 -0.0%, {3.67}  (7),0_0_0_7_3.667:0.0_0.0:0.0,
note,349.228231,F4+0.0,F4+0.0,8\12 -0.0%, {6.0}  (8),0_0_0_8_6.0:0.0_0.0:0.0,
note,369.994421,F#4+0.0,F#4+0.0,9\12 -0.0%, {2.67}  (7),0_0_0_7_2.667:0.0_0.0:0.0,
note,369.994423,F#4+0.0,F#4+0.0,9\12 0.0%, {5.0}  (8),0_0_0_8_5.0:0.0_0.0:0.0,
note,391.995434,G4+0.0,G4+0.0,10\12 -0.0%, {1.67}  (7),0_0_0_7_1.667:0.0_0.0:0.0,
note,391.995436,G4+0.0,G4+0.0,10\12 0.0%, {4.0}  (8),0_0_0_8_4.0:0.0_0.0:0.0,
note,415.304698,Ab4+0.0,Ab4+0.0,11\12 0.0%, {3.0}  (8),0_0_0_8_3.0:0.0_0.0:0.0,
note,440,A4+0.0,A4+0.0,0\12 0.0%, {2.0}  (8),0_0_0_8_2.0:0.0_0.0:0.0,
note,466.163762,Bb4+0.0,Bb4+0.0,1\12 0.0%, {1.0}  (8),0_0_0_8_1.0:0.0_0.0:0.0,
