bass-clarinet-standard.csv
Instrument: Bass Clarinet
Transposition: -1400 cents
Tonic: 440.0 Hz
Temperament: 12-TET
Description: In $standard$ collections` all pitches are shown as in tune relative to 12-TET` even though this might not always be the case. Also` there might be some errors
Type,Frequency (Hz),Transposed pitch,Concert pitch,TET step,Fingering,Fingering ID,Description
note,58.27047,C3+0.0,Bb1+0.0,1\12 -0.0%, T 123 | C 456,92405938_0_0_|_0.0:0.0_0.0:0.0,
note,61.735413,C#3+0.0,B1+0.0,2\12 0.0%, T 123 | C# 456,92340402_0_0_|_0.0:0.0_0.0:0.0,
note,65.406391,D3+0.0,C2+0.0,3\12 -0.0%, T 123 D | 456,92278962_0_0_|_0.0:0.0_0.0:0.0,
note,65.406391,D3+0.0,C2+0.0,3\12 -0.0%, T 123 | 456 D,4387242162_0_0_|_0.0:0.0_0.0:0.0,
note,69.295658,Eb3+0.0,C#2+0.0,4\12 0.0%, T 123 | 456 Eb,2239758514_0_0_|_0.0:0.0_0.0:0.0,
note,73.416192,E3+0.0,D2+0.0,5\12 0.0%, T 123 E | 456,92276914_0_0_|_0.0:0.0_0.0:0.0,
note,73.416192,E3+0.0,D2+0.0,5\12 0.0%, T 123 | 456 E,1166016690_0_0_|_0.0:0.0_0.0:0.0,
note,77.781746,F3+0.0,Eb2+0.0,6\12 0.0%, T 123 F | 456,92275378_0_0_|_0.0:0.0_0.0:0.0,
note,77.781746,F3+0.0,Eb2+0.0,6\12 0.0%, T 123 | 456 F,360710322_0_0_|_0.0:0.0_0.0:0.0,
note,82.406889,F#3+0.0,E2+0.0,7\12 -0.0%, T 123 F# | 456,92275890_0_0_|_0.0:0.0_0.0:0.0,
note,82.406889,F#3+0.0,E2+0.0,7\12 -0.0%, T 123 | 456 F#,629145778_0_0_|_0.0:0.0_0.0:0.0,
note,87.307058,G3+0.0,F2+0.0,8\12 0.0%, T 123 | 456,92274866_0_0_|_0.0:0.0_0.0:0.0,
note,92.498606,Ab3+0.0,F#2+0.0,9\12 0.0%, T 123 Ab | 456,92283058_0_0_|_0.0:0.0_0.0:0.0,
note,92.498606,Ab3+0.0,F#2+0.0,9\12 0.0%, T 123 | 456 Ab,226492594_0_0_|_0.0:0.0_0.0:0.0,
note,97.998859,A3+0.0,G2+0.0,10\12 0.0%, T 123 | 45-,25166002_0_0_|_0.0:0.0_0.0:0.0,
note,103.826174,Bb3+0.0,Ab2+0.0,11\12 -0.0%, T 123 | 4--,8388786_0_0_|_0.0:0.0_0.0:0.0,
note,110.0,B3+0.0,A2+0.0,0\12 0.0%, T 123 | -5-,16777394_0_0_|_0.0:0.0_0.0:0.0,
note,110.0,B3+0.0,A2+0.0,0\12 0.0%, T 123 | 4-B-,41943218_0_0_|_0.0:0.0_0.0:0.0,
note,116.54094,C4+0.0,Bb2+0.0,1\12 -0.0%, T 123 | ---,178_0_0_|_0.0:0.0_0.0:0.0,
note,123.470825,C#4+0.0,B2+0.0,2\12 -0.0%, T 123 C# | ---,434_0_0_|_0.0:0.0_0.0:0.0,
note,130.812783,D4+0.0,C3+0.0,3\12 0.0%, T 12- | ---,50_0_0_|_0.0:0.0_0.0:0.0,
note,138.591315,Eb4+0.0,C#3+0.0,4\12 -0.0%, T 12Eb- | ---,114_0_0_|_0.0:0.0_0.0:0.0,
note,138.591315,Eb4+0.0,C#3+0.0,4\12 -0.0%, T 12- | eb ---,2097202_0_0_|_0.0:0.0_0.0:0.0,
note,138.591315,Eb4+0.0,C#3+0.0,4\12 -0.0%, T 1-- | 4--,8388626_0_0_|_0.0:0.0_0.0:0.0,
note,146.832384,E4+0.0,D3+0.0,5\12 0.0%, T 1-- | ---,18_0_0_|_0.0:0.0_0.0:0.0,
note,155.563492,F4+0.0,Eb3+0.0,6\12 0.0%, T --- | ---,2_0_0_|_0.0:0.0_0.0:0.0,
note,155.563492,F4+0.0,Eb3+0.0,6\12 0.0%, T 12Eb- | f# ---,1048690_0_0_|_0.0:0.0_0.0:0.0,
note,164.813778,F#4+0.0,E3+0.0,7\12 -0.0%, 1-- | ---,16_0_0_|_0.0:0.0_0.0:0.0,
note,164.813778,F#4+0.0,E3+0.0,7\12 -0.0%, T --- | f# ---,1048578_0_0_|_0.0:0.0_0.0:0.0,
note,164.813778,F#4+0.0,E3+0.0,7\12 -0.0%, T 1-- | f# ---,1048594_0_0_|_0.0:0.0_0.0:0.0,
note,174.614116,G4+0.0,F3+0.0,8\12 0.0%, --- | ---,0_0_0_|_0.0:0.0_0.0:0.0,
note,184.997212,Ab4+0.0,F#3+0.0,9\12 0.0%, G# --- | ---,4_0_0_|_0.0:0.0_0.0:0.0,
note,184.997212,Ab4+0.0,F#3+0.0,9\12 0.0%, T G# --- | f# ---,1048582_0_0_|_0.0:0.0_0.0:0.0,
note,195.997718,A4+0.0,G3+0.0,10\12 0.0%, A --- | ---,8_0_0_|_0.0:0.0_0.0:0.0,
note,195.997718,A4+0.0,G3+0.0,10\12 0.0%, G# --- | bb ---,524292_0_0_|_0.0:0.0_0.0:0.0,
note,207.652349,Bb4+0.0,Ab3+0.0,11\12 0.0%, R A --- | ---,9_0_0_|_0.0:0.0_0.0:0.0,
note,207.652349,Bb4+0.0,Ab3+0.0,11\12 0.0%, G# --- | b ---,262148_0_0_|_0.0:0.0_0.0:0.0,
note,207.652349,Bb4+0.0,Ab3+0.0,11\12 0.0%, A --- | bb ---,524296_0_0_|_0.0:0.0_0.0:0.0,
note,220.0,B4+0.0,A3+0.0,0\12 0.0%, A --- | b ---,262152_0_0_|_0.0:0.0_0.0:0.0,
note,220.0,B4+0.0,A3+0.0,0\12 0.0%, R A --- | bb ---,524297_0_0_|_0.0:0.0_0.0:0.0,
note,220.0,B4+0.0,A3+0.0,0\12 0.0%, R T 123 E | 456,92276915_0_0_|_0.0:0.0_0.0:0.0,
note,220.0,B4+0.0,A3+0.0,0\12 0.0%, R T 123 | 456 E,1166016691_0_0_|_0.0:0.0_0.0:0.0,
note,233.081881,C5+0.0,Bb3+0.0,1\12 0.0%, R T 123 F | 456,92275379_0_0_|_0.0:0.0_0.0:0.0,
note,233.081881,C5+0.0,Bb3+0.0,1\12 0.0%, R T 123 | 456 F,360710323_0_0_|_0.0:0.0_0.0:0.0,
note,246.941651,C#5+0.0,B3+0.0,2\12 0.0%, R T 123 F# | 456,92275891_0_0_|_0.0:0.0_0.0:0.0,
note,246.941651,C#5+0.0,B3+0.0,2\12 0.0%, R T 123 | 456 F#,629145779_0_0_|_0.0:0.0_0.0:0.0,
note,261.625565,D5+0.0,C4+0.0,3\12 -0.0%, R T 123 | 456,92274867_0_0_|_0.0:0.0_0.0:0.0,
note,277.182631,Eb5+0.0,C#4+0.0,4\12 0.0%, R T 123 Ab | 456,92283059_0_0_|_0.0:0.0_0.0:0.0,
note,277.182631,Eb5+0.0,C#4+0.0,4\12 0.0%, R T 123 | 456 Ab,226492595_0_0_|_0.0:0.0_0.0:0.0,
note,293.664768,E5+0.0,D4+0.0,5\12 0.0%, R T 123 | 45-,25166003_0_0_|_0.0:0.0_0.0:0.0,
note,311.126984,F5+0.0,Eb4+0.0,6\12 0.0%, R T 123 | 4--,8388787_0_0_|_0.0:0.0_0.0:0.0,
note,329.627557,F#5+0.0,E4+0.0,7\12 0.0%, R T 123 | -5-,16777395_0_0_|_0.0:0.0_0.0:0.0,
note,329.627557,F#5+0.0,E4+0.0,7\12 0.0%, R T 123 | 4-B-,41943219_0_0_|_0.0:0.0_0.0:0.0,
note,349.228231,G5+0.0,F4+0.0,8\12 -0.0%, R T 123 | ---,179_0_0_|_0.0:0.0_0.0:0.0,
note,369.994423,Ab5+0.0,F#4+0.0,9\12 0.0%, R T 123 C# | ---,435_0_0_|_0.0:0.0_0.0:0.0,
note,391.995436,A5+0.0,G4+0.0,10\12 0.0%, R T 12- | ---,51_0_0_|_0.0:0.0_0.0:0.0,
note,415.304698,Bb5+0.0,Ab4+0.0,11\12 0.0%, R T 12Eb- | ---,115_0_0_|_0.0:0.0_0.0:0.0,
note,415.304698,Bb5+0.0,Ab4+0.0,11\12 0.0%, R T 12- | eb ---,2097203_0_0_|_0.0:0.0_0.0:0.0,
note,415.304698,Bb5+0.0,Ab4+0.0,11\12 0.0%, R T 1-- | 4--,8388627_0_0_|_0.0:0.0_0.0:0.0,
note,440.0,B5+0.0,A4+0.0,0\12 0.0%, R T 1-- | ---,19_0_0_|_0.0:0.0_0.0:0.0,
note,466.163762,C6+0.0,Bb4+0.0,1\12 0.0%, R T --- | ---,3_0_0_|_0.0:0.0_0.0:0.0,
note,493.883301,C#6+0.0,B4+0.0,2\12 -0.0%, R T --- | f# ---,1048579_0_0_|_0.0:0.0_0.0:0.0,
