bassoon-standard.csv
Instrument: Bassoon
Transposition: 0 cents
Tonic: 440.0 Hz
Temperament: 12-TET
Description: In $standard$ collections` all pitches are shown as in tune relative to 12-TET` even though this might not always be the case. Also` there might be some errors
Type,Frequency (Hz),Transposed pitch,Concert pitch,TET step,Fingering,Fingering ID,Description
note,58.27047,Bb1+0.0,Bb1+0.0,1\12 -0.0%, Bb B 123 | E C# 456 F,7184928774_0_0_|_0.0:0.0_0.0:0.0,
note,61.735412,B1+0.0,B1+0.0,2\12 -0.0%, B 123 | E 456 F,7117819908_0_0_|_0.0:0.0_0.0:0.0,
note,65.406391,C2+0.0,C2+0.0,3\12 -0.0%, C 123 | E 456 F,7117819912_0_0_|_0.0:0.0_0.0:0.0,
note,69.295657,C#2+0.0,C#2+0.0,4\12 -0.0%, C 123 C# | E 456 F,7118082056_0_0_|_0.0:0.0_0.0:0.0,
note,73.416192,D2+0.0,D2+0.0,5\12 0.0%, D 123 | E 456 F,7117819936_0_0_|_0.0:0.0_0.0:0.0,
note,77.781746,Eb2+0.0,Eb2+0.0,6\12 0.0%, D 123 Eb | E 456 F,7117951008_0_0_|_0.0:0.0_0.0:0.0,
note,82.406889,E2+0.0,E2+0.0,7\12 -0.0%, 123 | E 456 F,7117819904_0_0_|_0.0:0.0_0.0:0.0,
note,87.307057,F2+0.0,F2+0.0,8\12 -0.0%, W 123 | 456 F,7113626624_0_0_|_0.0:0.0_0.0:0.0,
note,92.498605,F#2+0.0,F#2+0.0,9\12 -0.0%, W 123 | F# 456 F,7122015232_0_0_|_0.0:0.0_0.0:0.0,
note,92.498605,F#2+0.0,F#2+0.0,9\12 -0.0%, W 123 | 456 F F#,15703561216_0_0_|_0.0:0.0_0.0:0.0,
note,97.998858,G2+0.0,G2+0.0,10\12 -0.0%, W 123 | 456,2818659328_0_0_|_0.0:0.0_0.0:0.0,
note,103.826174,Ab2+0.0,Ab2+0.0,11\12 -0.0%, W 123 | G# 456,2852213760_0_0_|_0.0:0.0_0.0:0.0,
note,103.826174,Ab2+0.0,Ab2+0.0,11\12 -0.0%, W 123 | 456 G#,19998528512_0_0_|_0.0:0.0_0.0:0.0,
note,109.999999,A2+0.0,A2+0.0,0\12 -0.0%, W 123 | 45-,671175680_0_0_|_0.0:0.0_0.0:0.0,
note,116.54094,Bb2+0.0,Bb2+0.0,1\12 -0.0%, W 123 | Bb 45-,673272832_0_0_|_0.0:0.0_0.0:0.0,
