bbb-tuba-trill.csv
Instrument: BBb Tuba
Transposition: 0 cents
Tonic: 440.0 Hz
Temperament: 12-TET
Description: In $standard$ collections` all pitches are shown as in tune relative to 12-TET` even though this might not always be the case. Also` there might be some errors
Type,Frequency (Hz),Transposed pitch,Concert pitch,TET step,Fingering,Fingering ID,Description
trill,32.7031955 34.647829,C1+0.0 C#1+0.0,C1+0.0 C#1+0.0,3\12 -0.0% 4\12 0.0%, [1][2]34 (2),12_0_3_2_0.0:0.0_0.0:0.0,alternate 1 and 2
trill,32.7031955 36.708096,C1+0.0 D1+0.0,C1+0.0 D1+0.0,3\12 -0.0% 5\12 0.0%, [1]-34 (2),12_0_1_2_0.0:0.0_0.0:0.0,
trill,34.647829 36.708096,C#1+0.0 D1+0.0,C#1+0.0 D1+0.0,4\12 0.0% 5\12 0.0%, -[2]34 (2),12_0_2_2_0.0:0.0_0.0:0.0,
trill,34.647829 38.890873,C#1+0.0 Eb1+0.0,C#1+0.0 Eb1+0.0,4\12 0.0% 6\12 0.0%, [1][2][3]4 (2),8_0_7_2_0.0:0.0_0.0:0.0,alternate 1 and 23
trill,36.708096 38.890873,D1+0.0 Eb1+0.0,D1+0.0 Eb1+0.0,5\12 0.0% 6\12 0.0%, 1[2]-4 (2),9_0_2_2_0.0:0.0_0.0:0.0,
trill,36.708096 41.2034445,D1+0.0 E1+0.0,D1+0.0 E1+0.0,5\12 0.0% 7\12 -0.0%, [1]2-4 (2),10_0_1_2_0.0:0.0_0.0:0.0,
trill,38.890873 41.2034445,Eb1+0.0 E1+0.0,Eb1+0.0 E1+0.0,6\12 0.0% 7\12 -0.0%, [1][2]-4 (2),8_0_3_2_0.0:0.0_0.0:0.0,alternate 1 and 2
trill,38.890873 43.653529,Eb1+0.0 F1+0.0,Eb1+0.0 F1+0.0,6\12 0.0% 8\12 0.0%, [1]--4 (2),8_0_1_2_0.0:0.0_0.0:0.0,
trill,41.2034445 43.653529,E1+0.0 F1+0.0,E1+0.0 F1+0.0,7\12 -0.0% 8\12 0.0%, 1[2]3 (2),5_0_2_2_0.0:0.0_0.0:0.0,
trill,41.2034445 43.653529,E1+0.0 F1+0.0,E1+0.0 F1+0.0,7\12 -0.0% 8\12 0.0%, -[2]-4 (2),8_0_2_2_0.0:0.0_0.0:0.0,
trill,41.2034445 46.2493025,E1+0.0 F#1+0.0,E1+0.0 F#1+0.0,7\12 -0.0% 9\12 -0.0%, [1]23 (2),6_0_1_2_0.0:0.0_0.0:0.0,
trill,43.653529 46.249303,F1+0.0 F#1+0.0,F1+0.0 F#1+0.0,8\12 0.0% 9\12 0.0%, [1][2]3 (2),4_0_3_2_0.0:0.0_0.0:0.0,alternate 1 and 2
trill,43.653529 48.9994295,F1+0.0 G1+0.0,F1+0.0 G1+0.0,8\12 0.0% 10\12 0.0%, [1]-3 (2),4_0_1_2_0.0:0.0_0.0:0.0,
trill,46.249303 48.9994295,F#1+0.0 G1+0.0,F#1+0.0 G1+0.0,9\12 0.0% 10\12 0.0%, -[2]3 (2),4_0_2_2_0.0:0.0_0.0:0.0,
trill,46.249303 48.99943,F#1+0.0 G1+0.0,F#1+0.0 G1+0.0,9\12 0.0% 10\12 0.0%, 1[2]34 (3),13_0_2_3_0.0:0.0_0.0:0.0,
trill,46.249303 51.9130875,F#1+0.0 Ab1+0.0,F#1+0.0 Ab1+0.0,9\12 0.0% 11\12 0.0%, [1]234 (3),14_0_1_3_0.0:0.0_0.0:0.0,
trill,48.9994295 51.913087,G1+0.0 Ab1+0.0,G1+0.0 Ab1+0.0,10\12 0.0% 11\12 -0.0%, 1[2]- (2),1_0_2_2_0.0:0.0_0.0:0.0,
trill,48.9994295 55.0,G1+0.0 A1+0.0,G1+0.0 A1+0.0,10\12 0.0% 0\12 0.0%, [1]2- (2),2_0_1_2_0.0:0.0_0.0:0.0,
trill,48.9994295 55.0000005,G1+0.0 A1+0.0,G1+0.0 A1+0.0,10\12 0.0% 0\12 0.0%, [1]-34 (3),12_0_1_3_0.0:0.0_0.0:0.0,
trill,51.913087 55.0000005,Ab1+0.0 A1+0.0,Ab1+0.0 A1+0.0,11\12 -0.0% 0\12 0.0%, -[2]34 (3),12_0_2_3_0.0:0.0_0.0:0.0,
trill,51.913087 58.27047,Ab1+0.0 Bb1+0.0,Ab1+0.0 Bb1+0.0,11\12 -0.0% 1\12 -0.0%, [1]-- (2),0_0_1_2_0.0:0.0_0.0:0.0,
trill,55.0 58.27047,A1+0.0 Bb1+0.0,A1+0.0 Bb1+0.0,0\12 0.0% 1\12 -0.0%, -[2]- (2),0_0_2_2_0.0:0.0_0.0:0.0,
trill,55.0 58.2704705,A1+0.0 Bb1+0.0,A1+0.0 Bb1+0.0,0\12 0.0% 1\12 0.0%, 1[2]-4 (3),9_0_2_3_0.0:0.0_0.0:0.0,
trill,55.0 61.735413,A1+0.0 B1+0.0,A1+0.0 B1+0.0,0\12 0.0% 2\12 0.0%, [1]2-4 (3),10_0_1_3_0.0:0.0_0.0:0.0,
