clarinet-bb-trill.csv
Instrument: Clarinet in Bb
Transposition: -200 cents
Tonic: 440.0 Hz
Temperament: 12-TET
Description: In $standard$ collections` all pitches are shown as in tune relative to 12-TET` even though this might not always be the case. Also` there might be some errors
Type,Frequency (Hz),Transposed pitch,Concert pitch,TET step,Fingering,Fingering ID,Description
trill,146.832384 155.563492,E3+0.0 F3+0.0,D3+0.0 Eb3+0.0,5\12 0.0% 6\12 0.0%, T 123 F | 456[E],5768530_0_67108864_|_0.0:0.0_0.0:0.0,
trill,146.832384 155.563492,E3+0.0 F3+0.0,D3+0.0 Eb3+0.0,5\12 0.0% 6\12 0.0%, T 123 E | 456[F],5771602_0_16777216_|_0.0:0.0_0.0:0.0,
trill,146.832384 164.813779,E3+0.0 F#3+0.0,D3+0.0 E3+0.0,5\12 0.0% 7\12 0.0%, T 123[F#] | 456[E],5767506_0_67110912_|_0.0:0.0_0.0:0.0,
trill,146.832384 164.813779,E3+0.0 F#3+0.0,D3+0.0 E3+0.0,5\12 0.0% 7\12 0.0%, T 123 E | 456[F#],5771602_0_33554432_|_0.0:0.0_0.0:0.0,
trill,155.563492 164.813779,F3+0.0 F#3+0.0,Eb3+0.0 E3+0.0,6\12 0.0% 7\12 0.0%, T 123 F | 456[F#],5768530_0_33554432_|_0.0:0.0_0.0:0.0,
trill,155.563492 164.813779,F3+0.0 F#3+0.0,Eb3+0.0 E3+0.0,6\12 0.0% 7\12 0.0%, T 123[F#] | 456 F,22544722_0_2048_|_0.0:0.0_0.0:0.0,
trill,155.563492 174.614116,F3+0.0 G3+0.0,Eb3+0.0 F3+0.0,6\12 0.0% 8\12 0.0%, T 123 | 456[F],5767506_0_16777216_|_0.0:0.0_0.0:0.0,
trill,155.563492 174.614116,F3+0.0 G3+0.0,Eb3+0.0 F3+0.0,6\12 0.0% 8\12 0.0%, T 123[F] | 456,5767506_0_1024_|_0.0:0.0_0.0:0.0,
trill,164.813779 174.614116,F#3+0.0 G3+0.0,E3+0.0 F3+0.0,7\12 0.0% 8\12 0.0%, T 123[F#] | 456,5767506_0_2048_|_0.0:0.0_0.0:0.0,
trill,164.813779 174.614116,F#3+0.0 G3+0.0,E3+0.0 F3+0.0,7\12 0.0% 8\12 0.0%, T 123 | 456[F#],5767506_0_33554432_|_0.0:0.0_0.0:0.0,
trill,164.813779 184.997212,F#3+0.0 Ab3+0.0,E3+0.0 F#3+0.0,7\12 0.0% 9\12 0.0%, T 123 F# | 456[Ab],5769554_0_8388608_|_0.0:0.0_0.0:0.0,
trill,164.813779 184.997212,F#3+0.0 Ab3+0.0,E3+0.0 F#3+0.0,7\12 0.0% 9\12 0.0%, T 123[Ab] | 456 F#,39321938_0_8192_|_0.0:0.0_0.0:0.0,
trill,174.614116 184.997212,G3+0.0 Ab3+0.0,F3+0.0 F#3+0.0,8\12 0.0% 9\12 0.0%, T 123 | 456[Ab],5767506_0_8388608_|_0.0:0.0_0.0:0.0,
trill,174.614116 184.997212,G3+0.0 Ab3+0.0,F3+0.0 F#3+0.0,8\12 0.0% 9\12 0.0%, T 123[Ab] | 456,5767506_0_8192_|_0.0:0.0_0.0:0.0,
trill,174.614116 195.997718,G3+0.0 A3+0.0,F3+0.0 G3+0.0,8\12 0.0% 10\12 0.0%, T 123 | 45[6],1573202_0_4194304_|_0.0:0.0_0.0:0.0,
trill,184.997211 195.997718,Ab3+0.0 A3+0.0,F#3+0.0 G3+0.0,9\12 -0.0% 10\12 0.0%, T 123 Ab | 45[6],1581394_0_4194304_|_0.0:0.0_0.0:0.0,
trill,184.997212 195.997718,Ab3+0.0 A3+0.0,F#3+0.0 G3+0.0,9\12 0.0% 10\12 0.0%, T 123 | 45[6] Ab,9961810_0_4194304_|_0.0:0.0_0.0:0.0,
trill,184.997212 207.652349,Ab3+0.0 Bb3+0.0,F#3+0.0 Ab3+0.0,9\12 0.0% 11\12 0.0%, T 123 Ab | 4[5][6],532818_0_5242880_|_0.0:0.0_0.0:0.0,
