contrabassoon-standard.csv
Instrument: Contrabassoon
Transposition: -1200 cents
Tonic: 440.0 Hz
Temperament: 12-TET
Description: In $standard$ collections` all pitches are shown as in tune relative to 12-TET` even though this might not always be the case. Also` there might be some errors
Type,Frequency (Hz),Transposed pitch,Concert pitch,TET step,Fingering,Fingering ID,Description
note,29.135235,Bb1+0.0,Bb0+0.0,1\12 -0.0%, Bb B 123 | E 456 F,113513990_0_0_|_0.0:0.0_0.0:0.0,
note,30.867706,B1+0.0,B0+0.0,2\12 -0.0%, B 123 | E 456 F,113513988_0_0_|_0.0:0.0_0.0:0.0,
note,32.703196,C2+0.0,C1+0.0,3\12 0.0%, C 123 | E 456 F,113513992_0_0_|_0.0:0.0_0.0:0.0,
note,34.647829,C#2+0.0,C#1+0.0,4\12 0.0%, C 123 C# | E 456 F,113530376_0_0_|_0.0:0.0_0.0:0.0,
note,36.708096,D2+0.0,D1+0.0,5\12 0.0%, D 123 | E 456 F,113514000_0_0_|_0.0:0.0_0.0:0.0,
note,38.890873,Eb2+0.0,Eb1+0.0,6\12 0.0%, D 123 Eb | E 456 F,113522192_0_0_|_0.0:0.0_0.0:0.0,
note,41.203445,E2+0.0,E1+0.0,7\12 0.0%, 123 | E 456 F,113513984_0_0_|_0.0:0.0_0.0:0.0,
note,43.653529,F2+0.0,F1+0.0,8\12 0.0%, 123 | 456 F,113251840_0_0_|_0.0:0.0_0.0:0.0,
note,46.249303,F#2+0.0,F#1+0.0,9\12 0.0%, 123 | F# 456 F,113776128_0_0_|_0.0:0.0_0.0:0.0,
note,46.249303,F#2+0.0,F#1+0.0,9\12 0.0%, 123 | 456 F F#,247469568_0_0_|_0.0:0.0_0.0:0.0,
note,48.99943,G2+0.0,G1+0.0,10\12 0.0%, 123 | 456,46142976_0_0_|_0.0:0.0_0.0:0.0,
note,51.913087,Ab2+0.0,Ab1+0.0,11\12 -0.0%, 123 | 456 G#,314578432_0_0_|_0.0:0.0_0.0:0.0,
note,55.0,A2+0.0,A1+0.0,0\12 0.0%, 123 | 45-,12588544_0_0_|_0.0:0.0_0.0:0.0,
note,58.27047,Bb2+0.0,Bb1+0.0,1\12 -0.0%, 123 | Bb 45-,12719616_0_0_|_0.0:0.0_0.0:0.0,
note,58.27047,Bb2+0.0,Bb1+0.0,1\12 -0.0%, 123 | 45Bb-,29365760_0_0_|_0.0:0.0_0.0:0.0,
note,61.735413,B2+0.0,B1+0.0,2\12 0.0%, 123 | 4--,4199936_0_0_|_0.0:0.0_0.0:0.0,
note,65.406391,C3+0.0,C2+0.0,3\12 -0.0%, 123 | ---,5632_0_0_|_0.0:0.0_0.0:0.0,
note,69.295658,C#3+0.0,C#2+0.0,4\12 0.0%, C# 123 | ---,5888_0_0_|_0.0:0.0_0.0:0.0,
note,73.416192,D3+0.0,D2+0.0,5\12 0.0%, 12- | ---,1536_0_0_|_0.0:0.0_0.0:0.0,
note,77.781746,Eb3+0.0,Eb2+0.0,6\12 0.0%, 12Eb- | ---,3584_0_0_|_0.0:0.0_0.0:0.0,
note,77.781746,Eb3+0.0,Eb2+0.0,6\12 0.0%, 12- | Eb ---,2098688_0_0_|_0.0:0.0_0.0:0.0,
note,82.406889,E3+0.0,E2+0.0,7\12 -0.0%, 1-- | ---,512_0_0_|_0.0:0.0_0.0:0.0,
note,87.307058,F3+0.0,F2+0.0,8\12 0.0%, --- | ---,0_0_0_|_0.0:0.0_0.0:0.0,
note,87.307058,F3+0.0,F2+0.0,8\12 0.0%, 1-3 | 456 F,113250816_0_0_|_0.0:0.0_0.0:0.0,
note,92.498606,F#3+0.0,F#2+0.0,9\12 0.0%, -23 | F# 456 F,113775616_0_0_|_0.0:0.0_0.0:0.0,
note,92.498606,F#3+0.0,F#2+0.0,9\12 0.0%, -23 | 456 F F#,247469056_0_0_|_0.0:0.0_0.0:0.0,
note,97.998859,G3+0.0,G2+0.0,10\12 0.0%, -23 | 456,46142464_0_0_|_0.0:0.0_0.0:0.0,
note,103.826174,Ab3+0.0,Ab2+0.0,11\12 -0.0%, -23 | 456 G#,314577920_0_0_|_0.0:0.0_0.0:0.0,
