double-f-bb-horn-trill.csv
Instrument: Double F/Bb Horn
Transposition: -700 cents
Tonic: 440.0 Hz
Temperament: 12-TET
Description: In $standard$ collections` all pitches are shown as in tune relative to 12-TET` even though this might not always be the case. Also` there might be some errors
Type,Frequency (Hz),Transposed pitch,Concert pitch,TET step,Fingering,Fingering ID,Description
trill,82.406889 87.307058,B2+0.0 C3+0.0,E2+0.0 F2+0.0,7\12 -0.0% 8\12 0.0%, -[2]- (2),0_0_2_2_0.0:0.0_0.0:0.0,
trill,82.406889 87.307058,B2+0.0 C3+0.0,E2+0.0 F2+0.0,7\12 -0.0% 8\12 0.0%, 1[2]3 Bb (2),21_0_2_2_0.0:0.0_0.0:0.0,
trill,82.406889 92.498606,B2+0.0 C#3+0.0,E2+0.0 F#2+0.0,7\12 -0.0% 9\12 0.0%, [1]23 Bb (2),22_0_1_2_0.0:0.0_0.0:0.0,
trill,87.307058 92.498606,C3+0.0 C#3+0.0,F2+0.0 F#2+0.0,8\12 0.0% 9\12 0.0%, [1][2]3 Bb (2),20_0_3_2_0.0:0.0_0.0:0.0,alternate 1 and 2
trill,87.307058 97.998859,C3+0.0 D3+0.0,F2+0.0 G2+0.0,8\12 0.0% 10\12 0.0%, [1]-3 Bb (2),20_0_1_2_0.0:0.0_0.0:0.0,
trill,92.498605 97.998859,C#3+0.0 D3+0.0,F#2+0.0 G2+0.0,9\12 -0.0% 10\12 0.0%, 1[2]3 (3),5_0_2_3_0.0:0.0_0.0:0.0,
trill,92.498605 97.998859,C#3+0.0 D3+0.0,F#2+0.0 G2+0.0,9\12 -0.0% 10\12 0.0%, -[2]3 Bb (2),20_0_2_2_0.0:0.0_0.0:0.0,
trill,92.498605 103.826175,C#3+0.0 Eb3+0.0,F#2+0.0 Ab2+0.0,9\12 -0.0% 11\12 0.0%, [1]23 (3),6_0_1_3_0.0:0.0_0.0:0.0,
trill,97.998859 103.826175,D3+0.0 Eb3+0.0,G2+0.0 Ab2+0.0,10\12 0.0% 11\12 0.0%, 1[2]- Bb (2),17_0_2_2_0.0:0.0_0.0:0.0,
trill,97.998859 110.0,D3+0.0 E3+0.0,G2+0.0 A2+0.0,10\12 0.0% 0\12 0.0%, [1]-3 (3),4_0_1_3_0.0:0.0_0.0:0.0,
trill,97.998859 110.0,D3+0.0 E3+0.0,G2+0.0 A2+0.0,10\12 0.0% 0\12 0.0%, [1]2- Bb (2),18_0_1_2_0.0:0.0_0.0:0.0,
trill,103.826174 110.0,Eb3+0.0 E3+0.0,Ab2+0.0 A2+0.0,11\12 -0.0% 0\12 0.0%, -[2]3 (3),4_0_2_3_0.0:0.0_0.0:0.0,
trill,103.826174 116.540941,Eb3+0.0 F3+0.0,Ab2+0.0 Bb2+0.0,11\12 -0.0% 1\12 0.0%, [1]-- Bb (2),16_0_1_2_0.0:0.0_0.0:0.0,
trill,110.0 116.540941,E3+0.0 F3+0.0,A2+0.0 Bb2+0.0,0\12 0.0% 1\12 0.0%, 1[2]- (3),1_0_2_3_0.0:0.0_0.0:0.0,
trill,110.0 116.540941,E3+0.0 F3+0.0,A2+0.0 Bb2+0.0,0\12 0.0% 1\12 0.0%, -[2]- Bb (2),16_0_2_2_0.0:0.0_0.0:0.0,
trill,110.0 123.470826,E3+0.0 F#3+0.0,A2+0.0 B2+0.0,0\12 0.0% 2\12 0.0%, [1]2- (3),2_0_1_3_0.0:0.0_0.0:0.0,
trill,116.54094 130.812783,F3+0.0 G3+0.0,Bb2+0.0 C3+0.0,1\12 -0.0% 3\12 0.0%, [1]-- (3),0_0_1_3_0.0:0.0_0.0:0.0,
trill,123.470825 130.812783,F#3+0.0 G3+0.0,B2+0.0 C3+0.0,2\12 -0.0% 3\12 0.0%, -[2]- (3),0_0_2_3_0.0:0.0_0.0:0.0,
trill,123.470825 130.812784,F#3+0.0 G3+0.0,B2+0.0 C3+0.0,2\12 -0.0% 3\12 0.0%, 1[2]3 (4),5_0_2_4_0.0:0.0_0.0:0.0,
trill,123.470825 130.812784,F#3+0.0 G3+0.0,B2+0.0 C3+0.0,2\12 -0.0% 3\12 0.0%, 1[2]3 Bb (3),21_0_2_3_0.0:0.0_0.0:0.0,
trill,123.470825 138.591317,F#3+0.0 Ab3+0.0,B2+0.0 C#3+0.0,2\12 -0.0% 4\12 0.0%, [1]23 (4),6_0_1_4_0.0:0.0_0.0:0.0,
trill,123.470825 138.591317,F#3+0.0 Ab3+0.0,B2+0.0 C#3+0.0,2\12 -0.0% 4\12 0.0%, [1]23 Bb (3),22_0_1_3_0.0:0.0_0.0:0.0,
trill,130.812783 138.591317,G3+0.0 Ab3+0.0,C3+0.0 C#3+0.0,3\12 0.0% 4\12 0.0%, [1][2]3 (4),4_0_3_4_0.0:0.0_0.0:0.0,alternate 1 and 2
trill,130.812783 138.591317,G3+0.0 Ab3+0.0,C3+0.0 C#3+0.0,3\12 0.0% 4\12 0.0%, [1][2]3 Bb (3),20_0_3_3_0.0:0.0_0.0:0.0,alternate 1 and 2
trill,130.812783 146.832385,G3+0.0 A3+0.0,C3+0.0 D3+0.0,3\12 0.0% 5\12 0.0%, [1]-3 (4),4_0_1_4_0.0:0.0_0.0:0.0,
trill,130.812783 146.832385,G3+0.0 A3+0.0,C3+0.0 D3+0.0,3\12 0.0% 5\12 0.0%, [1]-3 Bb (3),20_0_1_3_0.0:0.0_0.0:0.0,
trill,138.591316 146.832385,Ab3+0.0 A3+0.0,C#3+0.0 D3+0.0,4\12 0.0% 5\12 0.0%, -[2]3 (4),4_0_2_4_0.0:0.0_0.0:0.0,
trill,138.591316 146.832385,Ab3+0.0 A3+0.0,C#3+0.0 D3+0.0,4\12 0.0% 5\12 0.0%, -[2]3 Bb (3),20_0_2_3_0.0:0.0_0.0:0.0,
trill,146.832384 155.563493,A3+0.0 Bb3+0.0,D3+0.0 Eb3+0.0,5\12 0.0% 6\12 0.0%, 1[2]- (4),1_0_2_4_0.0:0.0_0.0:0.0,
trill,146.832384 155.563493,A3+0.0 Bb3+0.0,D3+0.0 Eb3+0.0,5\12 0.0% 6\12 0.0%, 1[2]- Bb (3),17_0_2_3_0.0:0.0_0.0:0.0,
trill,146.832384 164.81378,A3+0.0 B3+0.0,D3+0.0 E3+0.0,5\12 0.0% 7\12 0.0%, [1]2- (4),2_0_1_4_0.0:0.0_0.0:0.0,
trill,146.832384 164.81378,A3+0.0 B3+0.0,D3+0.0 E3+0.0,5\12 0.0% 7\12 0.0%, [1]2- Bb (3),18_0_1_3_0.0:0.0_0.0:0.0,
trill,155.563491 164.81378,Bb3+0.0 B3+0.0,Eb3+0.0 E3+0.0,6\12 -0.0% 7\12 0.0%, 1[2]3 (5),5_0_2_5_0.0:0.0_0.0:0.0,
trill,155.563492 174.614117,Bb3+0.0 C4+0.0,Eb3+0.0 F3+0.0,6\12 0.0% 8\12 0.0%, [1]-- (4),0_0_1_4_0.0:0.0_0.0:0.0,
trill,155.563491 174.614117,Bb3+0.0 C4+0.0,Eb3+0.0 F3+0.0,6\12 -0.0% 8\12 0.0%, [1]23 (5),6_0_1_5_0.0:0.0_0.0:0.0,
trill,155.563492 174.614117,Bb3+0.0 C4+0.0,Eb3+0.0 F3+0.0,6\12 0.0% 8\12 0.0%, [1]-- Bb (3),16_0_1_3_0.0:0.0_0.0:0.0,
trill,164.813778 174.614117,B3+0.0 C4+0.0,E3+0.0 F3+0.0,7\12 -0.0% 8\12 0.0%, -[2]- (4),0_0_2_4_0.0:0.0_0.0:0.0,
trill,164.813778 174.614117,B3+0.0 C4+0.0,E3+0.0 F3+0.0,7\12 -0.0% 8\12 0.0%, -[2]- Bb (3),16_0_2_3_0.0:0.0_0.0:0.0,
trill,164.813778 174.614118,B3+0.0 C4+0.0,E3+0.0 F3+0.0,7\12 -0.0% 8\12 0.0%, 1[2]3 Bb (4),21_0_2_4_0.0:0.0_0.0:0.0,
trill,164.813778 184.997213,B3+0.0 C#4+0.0,E3+0.0 F#3+0.0,7\12 -0.0% 9\12 0.0%, [1]-3 (5),4_0_1_5_0.0:0.0_0.0:0.0,
trill,164.813778 184.997213,B3+0.0 C#4+0.0,E3+0.0 F#3+0.0,7\12 -0.0% 9\12 0.0%, [1]23 Bb (4),22_0_1_4_0.0:0.0_0.0:0.0,
trill,174.614115 184.997213,C4+0.0 C#4+0.0,F3+0.0 F#3+0.0,8\12 -0.0% 9\12 0.0%, -[2]3 (5),4_0_2_5_0.0:0.0_0.0:0.0,
trill,174.614115 195.99772,C4+0.0 D4+0.0,F3+0.0 G3+0.0,8\12 -0.0% 10\12 0.0%, [1]-3 Bb (4),20_0_1_4_0.0:0.0_0.0:0.0,
trill,184.997211 195.997719,C#4+0.0 D4+0.0,F#3+0.0 G3+0.0,9\12 -0.0% 10\12 0.0%, 1[2]- (5),1_0_2_5_0.0:0.0_0.0:0.0,
trill,184.997211 195.99772,C#4+0.0 D4+0.0,F#3+0.0 G3+0.0,9\12 -0.0% 10\12 0.0%, -[2]3 Bb (4),20_0_2_4_0.0:0.0_0.0:0.0,
trill,184.997211 207.65235,C#4+0.0 Eb4+0.0,F#3+0.0 Ab3+0.0,9\12 -0.0% 11\12 0.0%, [1]2- (5),2_0_1_5_0.0:0.0_0.0:0.0,
trill,195.997717 207.652351,D4+0.0 Eb4+0.0,G3+0.0 Ab3+0.0,10\12 -0.0% 11\12 0.0%, 1[2]- Bb (4),17_0_2_4_0.0:0.0_0.0:0.0,
trill,195.997717 220.000002,D4+0.0 E4+0.0,G3+0.0 A3+0.0,10\12 -0.0% 0\12 0.0%, [1]-- (5),0_0_1_5_0.0:0.0_0.0:0.0,
trill,195.997717 220.000002,D4+0.0 E4+0.0,G3+0.0 A3+0.0,10\12 -0.0% 0\12 0.0%, [1]-3 (6),4_0_1_6_0.0:0.0_0.0:0.0,
trill,195.997717 220.000002,D4+0.0 E4+0.0,G3+0.0 A3+0.0,10\12 -0.0% 0\12 0.0%, [1]2- Bb (4),18_0_1_4_0.0:0.0_0.0:0.0,
