english-horn-standard.csv
Instrument: English Horn
Transposition: -700 cents
Tonic: 440.0 Hz
Temperament: 12-TET
Description: In $standard$ collections` all pitches are shown as in tune relative to 12-TET` even though this might not always be the case. Also` there might be some errors
Type,Frequency (Hz),Transposed pitch,Concert pitch,TET step,Fingering,Fingering ID,Description
note,164.813778,B3+0.0,E3+0.0,7\12 -0.0%, 123 B | 456c,27796616_0_0_|_0.0:0.0_0.0:0.0,
note,164.813778,B3+0.0,E3+0.0,7\12 -0.0%, 123 B | 456 C,44573832_0_0_|_0.0:0.0_0.0:0.0,
note,174.614116,C4+0.0,F3+0.0,8\12 0.0%, 123 | 456c,27788424_0_0_|_0.0:0.0_0.0:0.0,
note,174.614116,C4+0.0,F3+0.0,8\12 0.0%, 123 | 456 C,44565640_0_0_|_0.0:0.0_0.0:0.0,
note,184.997212,C#4+0.0,F#3+0.0,9\12 0.0%, 123 | 456 C#,78120072_0_0_|_0.0:0.0_0.0:0.0,
note,195.997718,D4+0.0,G3+0.0,10\12 0.0%, 123 | 456,11011208_0_0_|_0.0:0.0_0.0:0.0,
note,207.652349,Eb4+0.0,Ab3+0.0,11\12 0.0%, 123 Eb | 456,11015304_0_0_|_0.0:0.0_0.0:0.0,
note,207.652349,Eb4+0.0,Ab3+0.0,11\12 0.0%, 123 | 456 Eb,145228936_0_0_|_0.0:0.0_0.0:0.0,
note,220.0,E4+0.0,A3+0.0,0\12 0.0%, 123 | 45-,2622600_0_0_|_0.0:0.0_0.0:0.0,
note,233.081881,F4+0.0,Bb3+0.0,1\12 0.0%, 123 F | 45-,2655368_0_0_|_0.0:0.0_0.0:0.0,
note,233.081881,F4+0.0,Bb3+0.0,1\12 0.0%, 123 | 45F-,6816904_0_0_|_0.0:0.0_0.0:0.0,
note,233.081881,F4+0.0,Bb3+0.0,1\12 0.0%, 123 | 4-6,8914056_0_0_|_0.0:0.0_0.0:0.0,
note,246.941651,F#4+0.0,B3+0.0,2\12 0.0%, 123 | 4--,525448_0_0_|_0.0:0.0_0.0:0.0,
note,261.625565,G4+0.0,C4+0.0,3\12 -0.0%, 123 | ---,1160_0_0_|_0.0:0.0_0.0:0.0,
note,277.182631,Ab4+0.0,C#4+0.0,4\12 0.0%, 123 G# | ---,3208_0_0_|_0.0:0.0_0.0:0.0,
note,277.182631,Ab4+0.0,C#4+0.0,4\12 0.0%, 123 | G# ---,132232_0_0_|_0.0:0.0_0.0:0.0,
