euphonium-trill.csv
Instrument: Euphonium
Transposition: -1400 cents
Tonic: 440.0 Hz
Temperament: 12-TET
Description: In $standard$ collections` all pitches are shown as in tune relative to 12-TET` even though this might not always be the case. Also` there might be some errors
Type,Frequency (Hz),Transposed pitch,Concert pitch,TET step,Fingering,Fingering ID,Description
trill,65.406391 69.295658,D3+0.0 Eb3+0.0,C2+0.0 C#2+0.0,3\12 -0.0% 4\12 0.0%, [1][2]34 (2),12_0_3_2_0.0:0.0_0.0:0.0,alternate 1 and 2
trill,65.406391 73.416192,D3+0.0 E3+0.0,C2+0.0 D2+0.0,3\12 -0.0% 5\12 0.0%, [1]-34 (2),12_0_1_2_0.0:0.0_0.0:0.0,
trill,69.295658 73.416192,Eb3+0.0 E3+0.0,C#2+0.0 D2+0.0,4\12 0.0% 5\12 0.0%, -[2]34 (2),12_0_2_2_0.0:0.0_0.0:0.0,
trill,69.295658 77.781746,Eb3+0.0 F3+0.0,C#2+0.0 Eb2+0.0,4\12 0.0% 6\12 0.0%, [1][2][3]4 (2),8_0_7_2_0.0:0.0_0.0:0.0,alternate 1 and 23
trill,73.416192 77.781746,E3+0.0 F3+0.0,D2+0.0 Eb2+0.0,5\12 0.0% 6\12 0.0%, 1[2]-4 (2),9_0_2_2_0.0:0.0_0.0:0.0,
trill,73.416192 82.406889,E3+0.0 F#3+0.0,D2+0.0 E2+0.0,5\12 0.0% 7\12 -0.0%, [1]2-4 (2),10_0_1_2_0.0:0.0_0.0:0.0,
trill,77.781746 82.406889,F3+0.0 F#3+0.0,Eb2+0.0 E2+0.0,6\12 0.0% 7\12 -0.0%, [1][2]-4 (2),8_0_3_2_0.0:0.0_0.0:0.0,alternate 1 and 2
trill,77.781746 87.307058,F3+0.0 G3+0.0,Eb2+0.0 F2+0.0,6\12 0.0% 8\12 0.0%, [1]--4 (2),8_0_1_2_0.0:0.0_0.0:0.0,
trill,82.406889 87.307058,F#3+0.0 G3+0.0,E2+0.0 F2+0.0,7\12 -0.0% 8\12 0.0%, 1[2]3 (2),5_0_2_2_0.0:0.0_0.0:0.0,
trill,82.406889 87.307058,F#3+0.0 G3+0.0,E2+0.0 F2+0.0,7\12 -0.0% 8\12 0.0%, -[2]-4 (2),8_0_2_2_0.0:0.0_0.0:0.0,
trill,82.406889 92.498605,F#3+0.0 Ab3+0.0,E2+0.0 F#2+0.0,7\12 -0.0% 9\12 -0.0%, [1]23 (2),6_0_1_2_0.0:0.0_0.0:0.0,
trill,87.307058 92.498606,G3+0.0 Ab3+0.0,F2+0.0 F#2+0.0,8\12 0.0% 9\12 0.0%, [1][2]3 (2),4_0_3_2_0.0:0.0_0.0:0.0,alternate 1 and 2
trill,87.307058 97.998859,G3+0.0 A3+0.0,F2+0.0 G2+0.0,8\12 0.0% 10\12 0.0%, [1]-3 (2),4_0_1_2_0.0:0.0_0.0:0.0,
trill,92.498606 97.998859,Ab3+0.0 A3+0.0,F#2+0.0 G2+0.0,9\12 0.0% 10\12 0.0%, -[2]3 (2),4_0_2_2_0.0:0.0_0.0:0.0,
trill,92.498606 97.99886,Ab3+0.0 A3+0.0,F#2+0.0 G2+0.0,9\12 0.0% 10\12 0.0%, 1[2]34 (3),13_0_2_3_0.0:0.0_0.0:0.0,
trill,92.498606 103.826175,Ab3+0.0 Bb3+0.0,F#2+0.0 Ab2+0.0,9\12 0.0% 11\12 0.0%, [1]234 (3),14_0_1_3_0.0:0.0_0.0:0.0,
trill,97.998859 103.826174,A3+0.0 Bb3+0.0,G2+0.0 Ab2+0.0,10\12 0.0% 11\12 -0.0%, 1[2]- (2),1_0_2_2_0.0:0.0_0.0:0.0,
trill,97.998859 110.0,A3+0.0 B3+0.0,G2+0.0 A2+0.0,10\12 0.0% 0\12 0.0%, [1]2- (2),2_0_1_2_0.0:0.0_0.0:0.0,
trill,97.998859 110.000001,A3+0.0 B3+0.0,G2+0.0 A2+0.0,10\12 0.0% 0\12 0.0%, [1]-34 (3),12_0_1_3_0.0:0.0_0.0:0.0,
trill,103.826174 110.000001,Bb3+0.0 B3+0.0,Ab2+0.0 A2+0.0,11\12 -0.0% 0\12 0.0%, -[2]34 (3),12_0_2_3_0.0:0.0_0.0:0.0,
trill,103.826174 116.54094,Bb3+0.0 C4+0.0,Ab2+0.0 Bb2+0.0,11\12 -0.0% 1\12 -0.0%, [1]-- (2),0_0_1_2_0.0:0.0_0.0:0.0,
trill,110.0 116.54094,B3+0.0 C4+0.0,A2+0.0 Bb2+0.0,0\12 0.0% 1\12 -0.0%, -[2]- (2),0_0_2_2_0.0:0.0_0.0:0.0,
trill,110.0 116.540941,B3+0.0 C4+0.0,A2+0.0 Bb2+0.0,0\12 0.0% 1\12 0.0%, 1[2]-4 (3),9_0_2_3_0.0:0.0_0.0:0.0,
trill,110.0 123.470826,B3+0.0 C#4+0.0,A2+0.0 B2+0.0,0\12 0.0% 2\12 0.0%, [1]2-4 (3),10_0_1_3_0.0:0.0_0.0:0.0,
trill,116.54094 123.470826,C4+0.0 C#4+0.0,Bb2+0.0 B2+0.0,1\12 -0.0% 2\12 0.0%, [1][2]-4 (3),8_0_3_3_0.0:0.0_0.0:0.0,alternate 1 and 2
trill,116.54094 130.812783,C4+0.0 D4+0.0,Bb2+0.0 C3+0.0,1\12 -0.0% 3\12 0.0%, [1]--4 (3),8_0_1_3_0.0:0.0_0.0:0.0,
trill,123.470825 130.812783,C#4+0.0 D4+0.0,B2+0.0 C3+0.0,2\12 -0.0% 3\12 0.0%, 1[2]3 (3),5_0_2_3_0.0:0.0_0.0:0.0,
