piccolo-standard.csv
Instrument: Piccolo
Transposition: 1200 cents
Tonic: 440.0 Hz
Temperament: 12-TET
Description: In $standard$ collections` all pitches are shown as in tune relative to 12-TET` even though this might not always be the case. Also` there might be some errors
Type,Frequency (Hz),Transposed pitch,Concert pitch,TET step,Fingering,Fingering ID,Description
note,587.329536,D4+0.0,D5+0.0,5\12 0.0%, T 123 | 456,21558_0_0_|_0.0:0.0_0.0:0.0,
note,622.253968,Eb4+0.0,Eb5+0.0,6\12 0.0%, T 123 | 456 Eb,54326_0_0_|_0.0:0.0_0.0:0.0,
note,659.255114,E4+0.0,E5+0.0,7\12 0.0%, T 123 | 45- Eb,37942_0_0_|_0.0:0.0_0.0:0.0,
note,698.456463,F4+0.0,F5+0.0,8\12 0.0%, T 123 | 4-- Eb,33846_0_0_|_0.0:0.0_0.0:0.0,
note,739.988846,F#4+0.0,F#5+0.0,9\12 0.0%, T 123 | -5- Eb,36918_0_0_|_0.0:0.0_0.0:0.0,
note,739.988846,F#4+0.0,F#5+0.0,9\12 0.0%, T 123 | --6 Eb,49206_0_0_|_0.0:0.0_0.0:0.0,
note,783.990872,G4+0.0,G5+0.0,10\12 0.0%, T 123 | --- Eb,32822_0_0_|_0.0:0.0_0.0:0.0,
note,830.609395,Ab4+0.0,Ab5+0.0,11\12 -0.0%, T 123 G# | --- Eb,32886_0_0_|_0.0:0.0_0.0:0.0,
note,880.0,A4+0.0,A5+0.0,0\12 0.0%, T 12- | --- Eb,32790_0_0_|_0.0:0.0_0.0:0.0,
note,932.327523,Bb4+0.0,Bb5+0.0,1\12 -0.0%, Bb 1-- | --- Eb,32773_0_0_|_0.0:0.0_0.0:0.0,
note,932.327523,Bb4+0.0,Bb5+0.0,1\12 -0.0%, T 1-- | Bb --- Eb,33286_0_0_|_0.0:0.0_0.0:0.0,
note,932.327523,Bb4+0.0,Bb5+0.0,1\12 -0.0%, T 1-- | 4-- Eb,33798_0_0_|_0.0:0.0_0.0:0.0,
note,987.766603,B4+0.0,B5+0.0,2\12 0.0%, T 1-- | --- Eb,32774_0_0_|_0.0:0.0_0.0:0.0,
note,1046.502261,C5+0.0,C6+0.0,3\12 -0.0%, 1-- | --- Eb,32772_0_0_|_0.0:0.0_0.0:0.0,
note,1108.730524,C#5+0.0,C#6+0.0,4\12 0.0%, --- | --- Eb,32768_0_0_|_0.0:0.0_0.0:0.0,
note,1174.659072,D5+0.0,D6+0.0,5\12 0.0%, T -23 | 456,21554_0_0_|_0.0:0.0_0.0:0.0,
note,1174.659072,D5+0.0,D6+0.0,5\12 0.0%, --- | -d-- Eb,34816_0_0_|_0.0:0.0_0.0:0.0,
note,1174.659072,D5+0.0,D6+0.0,5\12 0.0%, 1-- | -d-- Eb,34820_0_0_|_0.0:0.0_0.0:0.0,
note,1244.507935,Eb5+0.0,Eb6+0.0,6\12 0.0%, --- | --eb- Eb,40960_0_0_|_0.0:0.0_0.0:0.0,
note,1244.507935,Eb5+0.0,Eb6+0.0,6\12 0.0%, T -23 | 456 Eb,54322_0_0_|_0.0:0.0_0.0:0.0,
note,1318.510228,E5+0.0,E6+0.0,7\12 0.0%, T 123 | 45- Eb,37942_0_0_|_0.0:0.0_0.0:0.0,
note,1396.912926,F5+0.0,F6+0.0,8\12 0.0%, T 123 | 4-- Eb,33846_0_0_|_0.0:0.0_0.0:0.0,
note,1479.977691,F#5+0.0,F#6+0.0,9\12 0.0%, T 123 | -5- Eb,36918_0_0_|_0.0:0.0_0.0:0.0,
note,1479.977691,F#5+0.0,F#6+0.0,9\12 0.0%, T 123 | --6 Eb,49206_0_0_|_0.0:0.0_0.0:0.0,
note,1567.981744,G5+0.0,G6+0.0,10\12 0.0%, T 123 | --- Eb,32822_0_0_|_0.0:0.0_0.0:0.0,
note,1661.218791,Ab5+0.0,Ab6+0.0,11\12 0.0%, T 123 G# | --- Eb,32886_0_0_|_0.0:0.0_0.0:0.0,
note,1760.0,A5+0.0,A6+0.0,0\12 0.0%, T 12- | --- Eb,32790_0_0_|_0.0:0.0_0.0:0.0,
note,1864.655047,Bb5+0.0,Bb6+0.0,1\12 0.0%, Bb 1-- | --- Eb,32773_0_0_|_0.0:0.0_0.0:0.0,
note,1864.655047,Bb5+0.0,Bb6+0.0,1\12 0.0%, T 1-- | Bb --- Eb,33286_0_0_|_0.0:0.0_0.0:0.0,
note,1864.655047,Bb5+0.0,Bb6+0.0,1\12 0.0%, T 1-- | 4-- Eb,33798_0_0_|_0.0:0.0_0.0:0.0,
note,1975.533206,B5+0.0,B6+0.0,2\12 0.0%, T 1-- | --- Eb,32774_0_0_|_0.0:0.0_0.0:0.0,
note,2093.004523,C6+0.0,C7+0.0,3\12 0.0%, 1-- | --- Eb,32772_0_0_|_0.0:0.0_0.0:0.0,
note,2217.461048,C#6+0.0,C#7+0.0,4\12 0.0%, --- | --- Eb,32768_0_0_|_0.0:0.0_0.0:0.0,
