tenor-horn-standard.csv,,,,,,,
Instrument: Tenor Horn,,,,,,,
Transposition: -900 cents,,,,,,,
Tonic: 440.0 Hz,,,,,,,
Temperament: 12-TET,,,,,,,
Description: In $standard$ collections` all pitches are shown as in tune relative to 12-TET` even though this might not always be the case. Also` there might be some errors,,,,,,,
Type,Frequency (Hz),Transposed pitch,Concert pitch,TET step,Fingering,Fingering ID,Description
note,109.9999984,F#3+0.0,E2+0.0,7\12 -0.0%, 123 (2),7_0_0_2_0.0:0.0_0.0:0.0,
note,116.5409392,G3+0.0,F2+0.0,8\12 -0.0%, 1-3 (2),5_0_0_2_0.0:0.0_0.0:0.0,
note,123.4708231,Ab3+0.0,F#2+0.0,9\12 -0.0%, -23 (2),6_0_0_2_0.0:0.0_0.0:0.0,
note,130.8127813,A3+0.0,G2+0.0,10\12 -0.0%, 12- (2),3_0_0_2_0.0:0.0_0.0:0.0,
note,130.8127813,A3+0.0,G2+0.0,10\12 -0.0%, --3 (2),4_0_0_2_0.0:0.0_0.0:0.0,
note,138.5913136,Bb3+0.0,Ab2+0.0,11\12 -0.0%, 1-- (2),1_0_0_2_0.0:0.0_0.0:0.0,
note,146.8323813,B3+0.0,A2+0.0,0\12 -0.0%, -2- (2),2_0_0_2_0.0:0.0_0.0:0.0,
note,155.56349,C4+0.0,Bb2+0.0,1\12 -0.0%, --- (2),0_0_0_2_0.0:0.0_0.0:0.0,
note,164.8137767,C#4+0.0,B2+0.0,2\12 -0.0%, 123 (3),7_0_0_3_0.0:0.0_0.0:0.0,
note,174.6141135,D4+0.0,C3+0.0,3\12 -0.0%, 1-3 (3),5_0_0_3_0.0:0.0_0.0:0.0,
note,184.9972094,Eb4+0.0,C#3+0.0,4\12 -0.0%, -23 (3),6_0_0_3_0.0:0.0_0.0:0.0,
note,195.9977154,E4+0.0,D3+0.0,5\12 -0.0%, 12- (3),3_0_0_3_0.0:0.0_0.0:0.0,
note,195.9977154,E4+0.0,D3+0.0,5\12 -0.0%, --3 (3),4_0_0_3_0.0:0.0_0.0:0.0,
note,207.6523463,F4+0.0,Eb3+0.0,6\12 -0.0%, 1-- (3),1_0_0_3_0.0:0.0_0.0:0.0,
note,219.9999981,F#4+0.0,E3+0.0,7\12 -0.0%, -2- (3),2_0_0_3_0.0:0.0_0.0:0.0,
note,219.9999981,F#4+0.0,E3+0.0,7\12 -0.0%, 123 (4),7_0_0_4_0.0:0.0_0.0:0.0,
note,233.0818785,G4+0.0,F3+0.0,8\12 -0.0%, --- (3),0_0_0_3_0.0:0.0_0.0:0.0,
note,233.0818785,G4+0.0,F3+0.0,8\12 -0.0%, 1-3 (4),5_0_0_4_0.0:0.0_0.0:0.0,
note,246.9416475,Ab4+0.0,F#3+0.0,9\12 -0.0%, -23 (4),6_0_0_4_0.0:0.0_0.0:0.0,
note,261.6255626,A4+0.0,G3+0.0,10\12 -0.0%, 12- (4),3_0_0_4_0.0:0.0_0.0:0.0,
note,261.6255626,A4+0.0,G3+0.0,10\12 -0.0%, --3 (4),4_0_0_4_0.0:0.0_0.0:0.0,
note,277.1826273,Bb4+0.0,Ab3+0.0,11\12 -0.0%, 1-- (4),1_0_0_4_0.0:0.0_0.0:0.0,
note,293.6647639,B4+0.0,A3+0.0,0\12 -0.0%, -2- (4),2_0_0_4_0.0:0.0_0.0:0.0,
note,293.6647652,B4+0.0,A3+0.0,0\12 -0.0%, 1-3 (5),5_0_0_5_0.0:0.0_0.0:0.0,
note,311.12698,C5+0.0,Bb3+0.0,1\12 -0.0%, --- (4),0_0_0_4_0.0:0.0_0.0:0.0,
note,311.12698,C5+0.0,Bb3+0.0,1\12 -0.0%, -23 (5),6_0_0_5_0.0:0.0_0.0:0.0,
note,329.6275534,C#5+0.0,B3+0.0,2\12 -0.0%, 12- (5),3_0_0_5_0.0:0.0_0.0:0.0,
note,329.6275534,C#5+0.0,B3+0.0,2\12 -0.0%, --3 (5),4_0_0_5_0.0:0.0_0.0:0.0,
note,349.228227,D5+0.0,C4+0.0,3\12 -0.0%, 1-- (5),1_0_0_5_0.0:0.0_0.0:0.0,
note,349.228227,D5+0.0,C4+0.0,3\12 -0.0%, 1-3 (6),5_0_0_6_0.0:0.0_0.0:0.0,
note,369.9944174,Eb5+0.0,C#4+0.0,4\12 -0.0%, -23 (6),6_0_0_6_0.0:0.0_0.0:0.0,
note,369.9944187,Eb5+0.0,C#4+0.0,4\12 -0.0%, -2- (5),2_0_0_5_0.0:0.0_0.0:0.0,
note,391.9954308,E5+0.0,D4+0.0,5\12 -0.0%, --- (5),0_0_0_5_0.0:0.0_0.0:0.0,
note,391.9954308,E5+0.0,D4+0.0,5\12 -0.0%, 12- (6),3_0_0_6_0.0:0.0_0.0:0.0,
note,391.9954308,E5+0.0,D4+0.0,5\12 -0.0%, --3 (6),4_0_0_6_0.0:0.0_0.0:0.0,
note,415.3046926,F5+0.0,Eb4+0.0,6\12 -0.0%, 1-- (6),1_0_0_6_0.0:0.0_0.0:0.0,
note,439.9999948,F#5+0.0,E4+0.0,7\12 -0.0%, -2- (6),2_0_0_6_0.0:0.0_0.0:0.0,
