trumpet-bb-trill.csv
Instrument: Trumpet in Bb
Transposition: -200 cents
Tonic: 440.0 Hz
Temperament: 12-TET
Description: In $standard$ collections` all pitches are shown as in tune relative to 12-TET` even though this might not always be the case. Also` there might be some errors
Type,Frequency (Hz),Transposed pitch,Concert pitch,TET step,Fingering,Fingering ID,Description
trill,164.813778 174.614116,F#3+0.0 G3+0.0,E3+0.0 F3+0.0,7\12 -0.0% 8\12 0.0%, 1[2]3 {0.0} {0.0} (2),5_0_2_2_0.0:0.0_0.0:0.0,
trill,164.813778 184.997211,F#3+0.0 Ab3+0.0,E3+0.0 F#3+0.0,7\12 -0.0% 9\12 -0.0%, [1]23 {0.0} {0.0} (2),6_0_1_2_0.0:0.0_0.0:0.0,
trill,174.614116 184.997211,G3+0.0 Ab3+0.0,F3+0.0 F#3+0.0,8\12 0.0% 9\12 -0.0%, [1][2]3 {0.0} {0.0} (2),4_0_3_2_0.0:0.0_0.0:0.0,alternate 1 and 2
trill,174.614116 195.997718,G3+0.0 A3+0.0,F3+0.0 G3+0.0,8\12 0.0% 10\12 0.0%, [1]-3 {0.0} {0.0} (2),4_0_1_2_0.0:0.0_0.0:0.0,
trill,184.997211 195.997718,Ab3+0.0 A3+0.0,F#3+0.0 G3+0.0,9\12 -0.0% 10\12 0.0%, -[2]3 {0.0} {0.0} (2),4_0_2_2_0.0:0.0_0.0:0.0,
trill,184.997211 207.652349,Ab3+0.0 Bb3+0.0,F#3+0.0 Ab3+0.0,9\12 -0.0% 11\12 0.0%, [1][2][3] {0.0} {0.0} (2),0_0_7_2_0.0:0.0_0.0:0.0,alternate 1 and 23
trill,195.997718 207.652349,A3+0.0 Bb3+0.0,G3+0.0 Ab3+0.0,10\12 0.0% 11\12 0.0%, 1[2]- {0.0} {0.0} (2),1_0_2_2_0.0:0.0_0.0:0.0,
trill,195.997718 220.0,A3+0.0 B3+0.0,G3+0.0 A3+0.0,10\12 0.0% 0\12 0.0%, [1]2- {0.0} {0.0} (2),2_0_1_2_0.0:0.0_0.0:0.0,
trill,207.652349 220.0,Bb3+0.0 B3+0.0,Ab3+0.0 A3+0.0,11\12 0.0% 0\12 0.0%, [1][2]- {0.0} {0.0} (2),0_0_3_2_0.0:0.0_0.0:0.0,alternate 1 and 2
trill,207.652349 233.081881,Bb3+0.0 C4+0.0,Ab3+0.0 Bb3+0.0,11\12 0.0% 1\12 0.0%, [1]-- {0.0} {0.0} (2),0_0_1_2_0.0:0.0_0.0:0.0,
trill,220.0 233.081881,B3+0.0 C4+0.0,A3+0.0 Bb3+0.0,0\12 0.0% 1\12 0.0%, -[2]- {0.0} {0.0} (2),0_0_2_2_0.0:0.0_0.0:0.0,
trill,220.0 246.941651,B3+0.0 C#4+0.0,A3+0.0 B3+0.0,0\12 0.0% 2\12 0.0%, [1]2[3] {0.5} {0.0} [(2)(3)],2_0_5_-3_0.5:0.5_0.0:0.0,
trill,233.081881 246.941651,C4+0.0 C#4+0.0,Bb3+0.0 B3+0.0,1\12 0.0% 2\12 0.0%, [1][2][3] {0.5} {0.0} [(2)(3)],0_0_7_-3_0.5:0.5_0.0:0.0,
trill,233.081881 261.625566,C4+0.0 D4+0.0,Bb3+0.0 C4+0.0,1\12 0.0% 3\12 0.0%, [1]-[3] {0.25} {0.0} [(2)(3)],0_0_5_-3_0.25:0.25_0.0:0.0,
trill,246.941651 261.625566,C#4+0.0 D4+0.0,B3+0.0 C4+0.0,2\12 0.0% 3\12 0.0%, 1[2]3 {0.38} {0.0} (3),5_0_2_3_0.375:0.375_0.0:0.0,
trill,246.941651 277.182631,C#4+0.0 Eb4+0.0,B3+0.0 C#4+0.0,2\12 0.0% 4\12 0.0%, [1]23 {0.25} {0.0} (3),6_0_1_3_0.25:0.25_0.0:0.0,
trill,261.625566 277.182631,D4+0.0 Eb4+0.0,C4+0.0 C#4+0.0,3\12 0.0% 4\12 0.0%, [1][2]3 {0.12} {0.0} (3),4_0_3_3_0.125:0.125_0.0:0.0,alternate 1 and 2
trill,261.625566 293.664768,D4+0.0 E4+0.0,C4+0.0 D4+0.0,3\12 0.0% 5\12 0.0%, [1]-3 {0.12} {0.0} (3),4_0_1_3_0.125:0.125_0.0:0.0,
trill,277.182632 293.664768,Eb4+0.0 E4+0.0,C#4+0.0 D4+0.0,4\12 0.0% 5\12 0.0%, -[2]3 {0.0} {0.0} (3),4_0_2_3_0.0:0.0_0.0:0.0,
trill,277.182632 311.126984,Eb4+0.0 F4+0.0,C#4+0.0 Eb4+0.0,4\12 0.0% 6\12 0.0%, [1][2][3] {0.0} {0.0} (3),0_0_7_3_0.0:0.0_0.0:0.0,alternate 1 and 23
trill,293.664769 311.126984,E4+0.0 F4+0.0,D4+0.0 Eb4+0.0,5\12 0.0% 6\12 0.0%, 1[2]- {0.0} {0.0} (3),1_0_2_3_0.0:0.0_0.0:0.0,
trill,293.664769 329.627557,E4+0.0 F#4+0.0,D4+0.0 E4+0.0,5\12 0.0% 7\12 0.0%, [1]2- {0.0} {0.0} (3),2_0_1_3_0.0:0.0_0.0:0.0,
trill,311.126984 329.627557,F4+0.0 F#4+0.0,Eb4+0.0 E4+0.0,6\12 0.0% 7\12 0.0%, [1][2]- {0.0} {0.0} (3),0_0_3_3_0.0:0.0_0.0:0.0,alternate 1 and 2
trill,311.126984 349.228231,F4+0.0 G4+0.0,Eb4+0.0 F4+0.0,6\12 0.0% 8\12 -0.0%, [1]-- {0.0} {0.0} (3),0_0_1_3_0.0:0.0_0.0:0.0,
trill,329.627557 349.228231,F#4+0.0 G4+0.0,E4+0.0 F4+0.0,7\12 0.0% 8\12 -0.0%, -[2]- {0.0} {0.0} (3),0_0_2_3_0.0:0.0_0.0:0.0,
trill,329.627557 369.994423,F#4+0.0 Ab4+0.0,E4+0.0 F#4+0.0,7\12 0.0% 9\12 0.0%, [1]23 {0.25} {0.0} (4),6_0_1_4_0.25:0.25_0.0:0.0,
trill,349.228232 369.994423,G4+0.0 Ab4+0.0,F4+0.0 F#4+0.0,8\12 0.0% 9\12 0.0%, [1][2]3 {0.12} {0.0} (4),4_0_3_4_0.125:0.125_0.0:0.0,alternate 1 and 2
trill,349.228232 391.995436,G4+0.0 A4+0.0,F4+0.0 G4+0.0,8\12 0.0% 10\12 0.0%, [1]-3 {0.12} {0.0} (4),4_0_1_4_0.125:0.125_0.0:0.0,
trill,369.994423 391.995436,Ab4+0.0 A4+0.0,F#4+0.0 G4+0.0,9\12 0.0% 10\12 0.0%, -[2]3 {0.0} {0.0} (4),4_0_2_4_0.0:0.0_0.0:0.0,
trill,369.994423 415.304698,Ab4+0.0 Bb4+0.0,F#4+0.0 Ab4+0.0,9\12 0.0% 11\12 0.0%, [1][2][3] {0.0} {0.0} (4),0_0_7_4_0.0:0.0_0.0:0.0,alternate 1 and 23
trill,391.995436 415.304698,A4+0.0 Bb4+0.0,G4+0.0 Ab4+0.0,10\12 0.0% 11\12 0.0%, 1[2]- {0.0} {0.0} (4),1_0_2_4_0.0:0.0_0.0:0.0,
trill,391.995436 440.0,A4+0.0 B4+0.0,G4+0.0 A4+0.0,10\12 0.0% 0\12 0.0%, [1]2- {0.0} {0.0} (4),2_0_1_4_0.0:0.0_0.0:0.0,
trill,415.304698 440.0,Bb4+0.0 B4+0.0,Ab4+0.0 A4+0.0,11\12 0.0% 0\12 0.0%, 1[2]3 {0.12} {0.0} (5),5_0_2_5_0.125:0.125_0.0:0.0,
trill,415.304698 466.163762,Bb4+0.0 C5+0.0,Ab4+0.0 Bb4+0.0,11\12 0.0% 1\12 0.0%, [1]-- {0.0} {0.0} (4),0_0_1_4_0.0:0.0_0.0:0.0,
trill,415.304698 466.163762,Bb4+0.0 C5+0.0,Ab4+0.0 Bb4+0.0,11\12 0.0% 1\12 0.0%, [1]23 {0.12} {0.0} (5),6_0_1_5_0.125:0.125_0.0:0.0,
trill,440.0 466.163762,B4+0.0 C5+0.0,A4+0.0 Bb4+0.0,0\12 0.0% 1\12 0.0%, -[2]- {0.0} {0.0} (4),0_0_2_4_0.0:0.0_0.0:0.0,
trill,440.0 493.883302,B4+0.0 C#5+0.0,A4+0.0 B4+0.0,0\12 0.0% 2\12 0.0%, [1]-3 {0.12} {0.0} (5),4_0_1_5_0.125:0.125_0.0:0.0,
trill,466.163762 493.883302,C5+0.0 C#5+0.0,Bb4+0.0 B4+0.0,1\12 0.0% 2\12 0.0%, -[2]3 {0.0} {0.0} (5),4_0_2_5_0.0:0.0_0.0:0.0,
trill,493.883301 523.251131,C#5+0.0 D5+0.0,B4+0.0 C5+0.0,2\12 -0.0% 3\12 0.0%, 1[2]- {0.0} {0.0} (5),1_0_2_5_0.0:0.0_0.0:0.0,
trill,493.883301 554.365263,C#5+0.0 Eb5+0.0,B4+0.0 C#5+0.0,2\12 -0.0% 4\12 0.0%, [1]2- {0.0} {0.0} (5),2_0_1_5_0.0:0.0_0.0:0.0,
trill,523.251131 554.365262,D5+0.0 Eb5+0.0,C5+0.0 C#5+0.0,3\12 0.0% 4\12 0.0%, [1][2]- {0.0} {0.0} (5),0_0_3_5_0.0:0.0_0.0:0.0,alternate 1 and 2
trill,523.251131 554.365262,D5+0.0 Eb5+0.0,C5+0.0 C#5+0.0,3\12 0.0% 4\12 0.0%, [1][2]3 {0.0} {0.0} (6),4_0_3_6_0.0:0.0_0.0:0.0,alternate 1 and 2
trill,523.251131 587.329536,D5+0.0 E5+0.0,C5+0.0 D5+0.0,3\12 0.0% 5\12 0.0%, [1]-- {0.0} {0.0} (5),0_0_1_5_0.0:0.0_0.0:0.0,
trill,523.251131 587.329536,D5+0.0 E5+0.0,C5+0.0 D5+0.0,3\12 0.0% 5\12 0.0%, [1]-3 {0.0} {0.0} (6),4_0_1_6_0.0:0.0_0.0:0.0,
trill,554.365262 587.329536,Eb5+0.0 E5+0.0,C#5+0.0 D5+0.0,4\12 0.0% 5\12 0.0%, -[2]- {0.0} {0.0} (5),0_0_2_5_0.0:0.0_0.0:0.0,
trill,554.365263 587.329536,Eb5+0.0 E5+0.0,C#5+0.0 D5+0.0,4\12 0.0% 5\12 0.0%, -[2]3 {0.0} {0.0} (6),4_0_2_6_0.0:0.0_0.0:0.0,
trill,587.329536 622.253967,E5+0.0 F5+0.0,D5+0.0 Eb5+0.0,5\12 0.0% 6\12 -0.0%, 1[2]- {0.0} {0.0} (6),1_0_2_6_0.0:0.0_0.0:0.0,
trill,587.329536 659.255114,E5+0.0 F#5+0.0,D5+0.0 E5+0.0,5\12 0.0% 7\12 0.0%, [1]2- {0.0} {0.0} (6),2_0_1_6_0.0:0.0_0.0:0.0,
trill,622.253968 698.456463,F5+0.0 G5+0.0,Eb5+0.0 F5+0.0,6\12 0.0% 8\12 0.0%, [1]-- {0.0} {0.0} (6),0_0_1_6_0.0:0.0_0.0:0.0,
trill,659.255114 698.456463,F#5+0.0 G5+0.0,E5+0.0 F5+0.0,7\12 0.0% 8\12 0.0%, -[2]- {0.0} {0.0} (6),0_0_2_6_0.0:0.0_0.0:0.0,
trill,659.255114 739.988846,F#5+0.0 Ab5+0.0,E5+0.0 F#5+0.0,7\12 0.0% 9\12 0.0%, [1]23 {0.12} {0.0} (8),6_0_1_8_0.125:0.125_0.0:0.0,
trill,659.255114 739.988845,F#5+0.0 Ab5+0.0,E5+0.0 F#5+0.0,7\12 0.0% 9\12 -0.0%, 123 {0.25} {0.0} [(8)(9)],7_0_0_-9_0.25:0.25_0.0:0.0,
trill,698.456463 739.988846,G5+0.0 Ab5+0.0,F5+0.0 F#5+0.0,8\12 0.0% 9\12 0.0%, [1][2]3 {0.0} {0.0} (8),4_0_3_8_0.0:0.0_0.0:0.0,alternate 1 and 2
trill,698.456463 783.990872,G5+0.0 A5+0.0,F5+0.0 G5+0.0,8\12 0.0% 10\12 0.0%, [1]-3 {0.0} {0.0} (8),4_0_1_8_0.0:0.0_0.0:0.0,
trill,698.456463 783.990872,G5+0.0 A5+0.0,F5+0.0 G5+0.0,8\12 0.0% 10\12 0.0%, 1-3 {0.0} {0.0} [(8)(9)],5_0_0_-9_0.0:0.0_0.0:0.0,
trill,739.988846 783.990872,Ab5+0.0 A5+0.0,F#5+0.0 G5+0.0,9\12 0.0% 10\12 0.0%, -[2]3 {0.0} {0.0} (8),4_0_2_8_0.0:0.0_0.0:0.0,
trill,739.988845 830.609395,Ab5+0.0 Bb5+0.0,F#5+0.0 Ab5+0.0,9\12 -0.0% 11\12 -0.0%, -23 {0.0} {0.0} [(8)(9)],6_0_0_-9_0.0:0.0_0.0:0.0,
trill,739.988845 830.609395,Ab5+0.0 Bb5+0.0,F#5+0.0 Ab5+0.0,9\12 -0.0% 11\12 -0.0%, [1]23 {0.25} {0.0} (8),6_0_1_8_0.25:0.25_0.0:0.0,
trill,739.988845 830.609395,Ab5+0.0 Bb5+0.0,F#5+0.0 Ab5+0.0,9\12 -0.0% 11\12 -0.0%, 123 {0.25} {0.0} [(9)(10)],7_0_0_-10_0.25:0.25_0.0:0.0,
trill,783.990872 830.609395,A5+0.0 Bb5+0.0,G5+0.0 Ab5+0.0,10\12 0.0% 11\12 -0.0%, 1[2]- {0.0} {0.0} (8),1_0_2_8_0.0:0.0_0.0:0.0,
trill,783.990872 880.0,A5+0.0 B5+0.0,G5+0.0 A5+0.0,10\12 0.0% 0\12 0.0%, [1]2- {0.0} {0.0} (8),2_0_1_8_0.0:0.0_0.0:0.0,
trill,783.990872 880.0,A5+0.0 B5+0.0,G5+0.0 A5+0.0,10\12 0.0% 0\12 0.0%, 12- {0.0} {0.0} [(8)(9)],3_0_0_-9_0.0:0.0_0.0:0.0,
trill,783.990872 880.0,A5+0.0 B5+0.0,G5+0.0 A5+0.0,10\12 0.0% 0\12 0.0%, --3 {0.0} {0.0} [(8)(9)],4_0_0_-9_0.0:0.0_0.0:0.0,
trill,783.990872 880.0,A5+0.0 B5+0.0,G5+0.0 A5+0.0,10\12 0.0% 0\12 0.0%, 1-3 {0.0} {0.0} [(9)(10)],5_0_0_-10_0.0:0.0_0.0:0.0,
trill,830.609395 880.0,Bb5+0.0 B5+0.0,Ab5+0.0 A5+0.0,11\12 -0.0% 0\12 0.0%, -[2]3 {0.0} {0.0} (9),4_0_2_9_0.0:0.0_0.0:0.0,
trill,830.609395 932.327523,Bb5+0.0 C6+0.0,Ab5+0.0 Bb5+0.0,11\12 -0.0% 1\12 -0.0%, [1]-- {0.0} {0.0} (8),0_0_1_8_0.0:0.0_0.0:0.0,
trill,830.609395 932.327523,Bb5+0.0 C6+0.0,Ab5+0.0 Bb5+0.0,11\12 -0.0% 1\12 -0.0%, 1-- {0.0} {0.0} [(8)(9)],1_0_0_-9_0.0:0.0_0.0:0.0,
trill,830.609395 932.327523,Bb5+0.0 C6+0.0,Ab5+0.0 Bb5+0.0,11\12 -0.0% 1\12 -0.0%, -23 {0.0} {0.0} [(9)(10)],6_0_0_-10_0.0:0.0_0.0:0.0,
trill,880.0 932.327523,B5+0.0 C6+0.0,A5+0.0 Bb5+0.0,0\12 0.0% 1\12 -0.0%, -[2]- {0.0} {0.0} (8),0_0_2_8_0.0:0.0_0.0:0.0,
trill,880.0 932.327523,B5+0.0 C6+0.0,A5+0.0 Bb5+0.0,0\12 0.0% 1\12 -0.0%, 1[2]- {0.0} {0.0} (9),1_0_2_9_0.0:0.0_0.0:0.0,
trill,880.0 987.766602,B5+0.0 C#6+0.0,A5+0.0 B5+0.0,0\12 0.0% 2\12 -0.0%, [1]2- {0.0} {0.0} (9),2_0_1_9_0.0:0.0_0.0:0.0,
trill,880.0 987.766602,B5+0.0 C#6+0.0,A5+0.0 B5+0.0,0\12 0.0% 2\12 -0.0%, -2- {0.0} {0.0} [(8)(9)],2_0_0_-9_0.0:0.0_0.0:0.0,
trill,880.0 987.766603,B5+0.0 C#6+0.0,A5+0.0 B5+0.0,0\12 0.0% 2\12 0.0%, 12- {0.0} {0.0} [(9)(10)],3_0_0_-10_0.0:0.0_0.0:0.0,
trill,880.0 987.766603,B5+0.0 C#6+0.0,A5+0.0 B5+0.0,0\12 0.0% 2\12 0.0%, --3 {0.0} {0.0} [(9)(10)],4_0_0_-10_0.0:0.0_0.0:0.0,
trill,932.327523 987.766602,C6+0.0 C#6+0.0,Bb5+0.0 B5+0.0,1\12 -0.0% 2\12 -0.0%, -[2]3 {0.0} {0.0} (10),4_0_2_10_0.0:0.0_0.0:0.0,
trill,932.327523 1046.502261,C6+0.0 D6+0.0,Bb5+0.0 C6+0.0,1\12 -0.0% 3\12 -0.0%, [1]-- {0.0} {0.0} (9),0_0_1_9_0.0:0.0_0.0:0.0,
trill,932.327523 1046.502261,C6+0.0 D6+0.0,Bb5+0.0 C6+0.0,1\12 -0.0% 3\12 -0.0%, --- {0.0} {0.0} [(8)(9)],0_0_0_-9_0.0:0.0_0.0:0.0,
trill,932.327523 1046.502261,C6+0.0 D6+0.0,Bb5+0.0 C6+0.0,1\12 -0.0% 3\12 -0.0%, 1-- {0.0} {0.0} [(9)(10)],1_0_0_-10_0.0:0.0_0.0:0.0,
trill,987.766603 1046.502261,C#6+0.0 D6+0.0,B5+0.0 C6+0.0,2\12 0.0% 3\12 -0.0%, -[2]- {0.0} {0.0} (9),0_0_2_9_0.0:0.0_0.0:0.0,
trill,987.766603 1046.502261,C#6+0.0 D6+0.0,B5+0.0 C6+0.0,2\12 0.0% 3\12 -0.0%, 1[2]- {0.0} {0.0} (10),1_0_2_10_0.0:0.0_0.0:0.0,
